1075934
/m/043tnl
/m/043tnl
Alan Garner
1996-05
{"/m/0hwxm": "Historical novel"}
1803 1
a 4
aboriginal 1
aborigine 1
aborigines 1
across 1
an 2
and 6
as 1
australia 1
buckley 1
by 2
charge 1
cheshire 1
closing 1
collapse 1
convicted 1
dances 1
discovered 1
english 1
epilepsy 1
escapes 1
exhaustion 1
fits 1
from 1
fulfilled 1
granted 1
grave 1
group 1
he 5
healer 1
him 1
his 2
holy 1
home 1
idea 1
in 3
intervenes 1
is 2
land 1
language 1
later 1
learns 1
man 1
murrangurk 1
native 1
of 6
on 2
only 1
outback 1
pardon 1
perfectly 1
prevent 1
regard 1
reincarnation 1
reinforced 1
returns 1
role 1
sequence 1
shaman 2
slaughter 1
soldiers 1
style 1
the 6
their 2
thirty 1
to 4
transformed 1
transported 1
trespass 1
trumpedup 1
was 1
ways 1
where 2
who 1
will 2
years 1
