1263166
/m/04n85v
/m/04n85v
Ian Fleming
1957
10 1
154 1
157 1
a 3
account 1
activities 1
additional 1
africa 2
after 1
amounts 1
an 1
and 3
april 1
as 4
at 2
background 1
beers 1
being 1
between 1
blaize 1
book 2
by 2
cases 1
chairman 1
closed 1
coast 1
collard 6
complete 1
concerning 1
de 1
dealt 1
diamond 3
diamonds 1
down 1
each 1
end 1
exhead 1
explained 1
fleming 3
form 1
from 2
goes 1
gold 1
had 1
he 2
history 1
how 1
ian 1
idso 5
illustrative 1
in 1
instigation 1
international 1
interpol 1
interspersed 1
interview 1
into 1
introduced 1
is 2
its 1
job 1
john 2
leone 1
look 1
meeting 1
member 1
men 1
met 1
mi5 1
million 1
narrative 1
number 1
of 14
on 1
operation 1
operations 1
oppenheimer 1
organisation 2
out 1
percy 1
philip 1
portuguese 1
providing 1
pseudonym 1
recruited 1
relates 2
report 1
security 1
set 1
sierra 1
sillitoe 1
sir 2
smuggled 1
smugglers 1
smuggling 1
south 1
stated 1
takes 1
tanganyika 1
that 2
the 22
to 1
two 1
under 2
until 1
up 1
vignettes 1
was 4
well 2
were 1
west 1
when 1
where 1
who 1
whom 1
with 3
worked 1
year 1
