1277265
/m/04ph8y
/m/04ph8y
John Gardner
1991
{"/m/06wkf": "Spy fiction"}
a 7
accomplishing 1
ador 1
after 1
agent 1
agents 1
american 1
an 2
and 8
are 2
as 4
assigned 1
assistant 1
at 2
away 1
babi 2
background 1
barbarossa 2
be 2
before 1
begins 3
behind 1
belief 1
believe 1
bibikova 1
blobel 1
bond 1
bory 1
by 1
called 1
captain 1
captured 1
character 1
cia 1
coalition 1
codenamed 1
complicated 1
cousin 1
crew 1
crimes 1
criminal 1
demands 1
deputy 1
discover 1
elderly 1
fictional 1
florida 1
focus 1
for 3
french 1
from 4
general 1
government 2
group 3
had 1
he 1
henri 1
his 2
identified 1
in 3
includes 1
infiltrate 1
information 2
invades 1
invasion 1
iraq 1
is 6
israeli 1
james 1
jersey 1
joel 2
josif 3
justice 3
kgb 1
kidnapped 1
leaders 1
learn 1
living 1
located 1
long 1
man 5
massacre 3
more 1
mossad 2
motive 1
murdering 1
nationsled 1
natkowitz 1
nazi 1
new 1
nina 1
not 1
nuclear 1
occurred 1
of 6
officials 1
on 3
operation 1
order 1
other 1
partially 1
partnered 1
paul 1
penderek 2
perestroika 1
pete 1
plans 2
posing 1
prelude 1
primarily 1
put 1
rampart 1
react 1
real 1
reallife 1
refuse 1
responsible 2
russian 1
sabotage 1
said 1
scales 3
secret 1
service 1
shift 1
situation 1
slightly 1
slow 1
so 1
some 1
soviet 2
staged 1
stepakov 1
stephanie 1
story 1
supply 1
surveillance 1
terrorist 1
that 4
the 25
their 1
they 3
this 1
to 8
trial 2
tv 1
two 1
under 2
union 1
united 1
voronstov 4
war 1
was 3
weapons 1
when 2
who 3
with 4
work 1
yar 2
yevgeny 1
yuskovich 2
