1286615
/m/04q69n
/m/04q69n
John Barnes

10 1
15year 1
168 1
188 1
2010s 1
20th 1
20yearold 1
210 1
21st 1
22nd 1
25th 1
27 1
60 1
a 25
abandoned 1
about 1
abusive 1
accompany 1
after 7
agent 2
aids 1
ali 1
alias 1
alice 3
all 1
alone 1
along 1
also 3
among 1
an 7
and 37
another 2
any 1
apartment 2
appearing 1
are 1
army 2
arrive 1
as 7
at 4
attacked 1
away 2
back 3
barnes 1
be 1
became 1
becomes 1
becoming 1
been 2
before 1
beginning 1
begins 1
behest 1
being 1
believes 1
benefit 1
best 1
body 2
books 1
born 1
box 1
brilliant 1
brought 1
built 1
bustle 1
by 7
cable 1
called 1
career 2
cause 1
caused 1
century 4
change 1
changing 1
childs 1
choice 1
city 1
civilians 1
claims 1
clear 1
closed 1
collapse 1
colonize 1
colonized 1
come 1
comes 1
communist 1
complete 1
computer 1
confine 1
conflict 1
confronted 1
consolidated 1
construct 1
contact 2
containing 1
control 1
could 1
counterinsurgency 1
countries 1
country 1
course 1
culminated 2
curve 1
damage 1
decades 1
descendants 2
desert 1
destroy 1
developed 1
development 1
diner 1
disturbing 1
diversified 1
dog 1
done 1
due 1
during 2
each 2
early 3
earth 5
ecoprospector 1
ecuador 1
edge 1
either 1
ended 1
enemy 1
engineers 1
enhance 1
entered 1
environmental 1
escape 1
essentially 1
european 1
eurowar 6
every 2
excursions 1
experience 1
family 1
father 1
fellow 1
fight 1
finally 1
finds 1
first 3
five 1
for 8
force 1
form 1
forth 1
frame 2
free 1
freedom 1
from 8
future 1
gang 1
gave 1
gender 2
geosync 1
gives 1
go 1
goes 1
good 1
got 1
great 1
group 1
gwenny 1
had 4
has 2
have 1
having 2
he 11
help 1
helped 1
her 6
him 8
himself 1
his 12
hisher 1
history 2
hold 1
home 1
hopes 1
humanity 1
humansettled 1
hustle 1
id 1
in 22
inception 1
incident 1
injection 1
innovations 1
inspiration 1
intensify 1
into 1
involving 1
is 7
it 4
its 2
john 1
joined 1
joshua 20
jump 1
jupiter 1
just 1
keep 1
kgb 2
killed 1
known 1
laptop 1
large 1
late 1
leading 2
learns 2
life 4
logistic 1
longtimer 2
longtimers 1
love 1
lover 1
loves 1
makes 2
male 1
many 2
march 1
mars 4
massive 1
may 1
mayhem 1
means 1
meet 1
meets 1
member 1
memes 5
memory 5
met 1
missions 1
modeling 1
morality 1
more 1
mother 1
murdered 1
mutates 1
name 1
named 1
narrator 1
natocentral 1
natural 1
nearby 1
no 1
novel 2
now 3
objects 1
obsessively 1
of 28
oil 2
old 1
on 9
once 1
one 5
only 1
operation 1
operative 2
optimizing 1
or 3
orbit 1
organization 9
organizers 1
original 1
orphan 1
other 3
out 2
over 2
partnered 1
party 2
past 2
pay 1
people 2
percentage 1
perfecting 1
perhaps 1
period 2
periodically 1
permanent 1
person 1
pieces 1
plans 1
point 1
population 2
possible 2
prague 1
predecessors 1
preparing 1
preset 1
process 1
production 1
provide 1
provides 1
put 2
quare 2
quito 1
ran 1
rape 2
raped 1
receiving 1
reconstruction 1
recovery 1
red 1
referred 1
refused 1
regenerate 1
regeneration 1
regrets 1
rehires 1
religions 1
repeatedly 1
research 1
resources 1
return 1
revival 2
revived 1
runs 1
sadi 11
sands 1
saturn 1
saw 1
science 1
scientists 1
second 1
sent 2
series 1
sets 1
several 1
she 3
ship 1
ships 1
side 1
sideeffect 1
simulation 1
since 1
singularity 4
smart 1
smots 1
so 1
solar 1
soldiers 2
some 2
soon 2
soviet 1
soviets 1
space 1
spent 1
spreads 1
star 1
stayed 1
steals 1
storm 1
story 2
sums 1
supplied 1
support 1
suppressed 1
surreptitiously 1
system 1
systems 2
tag 1
takeover 1
targeters 1
technical 1
technology 2
teens 1
tehran 1
terroristlike 1
that 9
the 66
then 2
there 1
these 2
thirty 1
this 4
through 4
time 6
timelike 1
times 2
to 27
together 1
took 1
torture 1
transfer 2
transmitting 1
tremendous 1
true 5
unburdened 1
under 1
unify 1
union 1
unionrussian 1
unleash 1
up 1
upstairs 1
us 2
ventures 1
via 1
violent 1
voiceactivated 1
wakes 1
wants 1
war 7
was 5
way 1
weapons 3
were 1
werp 1
what 1
when 4
where 1
which 3
while 1
who 4
whom 1
wiped 1
wiping 1
with 9
without 1
woman 3
worked 1
would 2
years 2
younger 1
