1296027
/m/04qrxm
/m/04qrxm
Richard Powers
1991-08-01
150s 1
17 1
180s 1
1843 1
a 1
affairs 1
allan 1
alludes 1
also 2
an 1
bach 2
befriend 1
between 2
book 1
braid 1
by 1
chemical 1
composition 1
discovering 1
discovery 1
dna 2
douglas 1
edgar 1
escher 1
eternal 1
explored 1
featured 1
first 1
flashbacks 1
gdel 1
goldberg 1
goldbug 1
golden 1
harpsichord 1
hinges 1
his 1
hofstadter 1
in 5
incorporated 1
intent 1
intertwines 1
is 2
johann 1
love 1
lovers 1
musicality 1
mysteries 1
novel 3
of 5
on 2
plot 2
poe 1
scientist 1
scientists 1
sebastian 1
second 1
set 1
short 1
similar 1
story 1
structure 1
the 17
theme 1
title 1
to 1
two 3
variations 1
which 1
who 1
with 1
