1301931
/m/04r639
/m/04r639
Wilson Rawls

10 2
25 1
5 1
50 1
a 34
about 1
according 1
afford 1
afternoon 1
afterward 1
again 1
against 1
age 1
all 2
almost 1
an 4
and 49
angel 1
ankle 1
ann 10
another 1
any 1
apparent 1
are 4
article 1
as 3
at 5
attack 2
attacks 1
away 2
awe 1
axe 2
back 1
badly 1
bag 1
bark 1
be 1
beat 1
because 1
become 1
before 4
begin 1
best 1
bestlooking 1
bet 1
better 1
between 1
big 2
billy 23
blistered 1
blizzard 1
blow 1
blue 1
both 2
bottom 1
boy 1
boys 2
brave 1
brings 1
builds 1
built 1
bush 1
but 7
buys 1
by 3
call 1
can 3
candy 1
cant 1
care 1
carved 1
cat 2
catch 2
catches 1
cave 2
challenge 1
championship 2
chase 5
chases 1
chopping 1
chops 1
circling 1
cloth 1
coleman 2
comes 2
completely 1
complicated 1
contest 1
continue 1
continues 1
coon 1
coonhound 2
coonhounds 2
costs 1
country 1
covered 1
crashing 1
cup 2
cuts 1
dad 3
dan 11
day 5
days 2
decides 2
defeat 1
defiantly 1
deliver 1
depot 1
determined 1
dies 2
different 1
distraught 1
do 1
does 2
dog 2
dogs 13
down 5
dresses 1
dropped 1
during 1
each 3
earn 1
earned 1
effort 2
end 2
enormous 1
enters 3
event 1
eventually 1
every 1
exhausting 1
experienced 1
extra 1
falls 2
family 2
far 1
father 1
feeling 1
feels 2
fern 2
few 3
fight 1
final 1
finally 3
find 3
finds 4
finest 1
fire 4
first 4
flowers 1
for 15
fourth 1
fray 1
free 1
from 3
fur 2
gave 1
gets 1
ghost 1
giant 1
gifts 1
give 2
given 1
go 2
goes 2
gold 1
grandfather 8
grave 1
graves 1
growing 1
had 2
hands 1
has 1
have 3
having 1
hawk 1
he 35
hears 1
heart 1
heartbroken 1
help 1
helps 1
her 1
him 13
himself 2
his 28
hits 1
home 2
hope 1
hoping 1
horrified 1
hounds 1
how 1
however 1
howls 1
hunt 4
hunter 1
hunters 2
hunting 3
ice 1
if 2
in 16
indian 1
inside 1
intelligent 1
intestines 1
into 2
is 13
it 14
its 2
jobs 1
judge 1
just 1
keep 1
keeps 1
kennel 1
kentucky 1
kill 1
kills 1
knowing 1
large 1
largest 1
last 1
later 2
leads 1
leave 1
leaving 1
legend 1
legendary 1
like 1
lion 3
lions 1
little 9
live 1
long 1
look 2
lose 1
loses 1
loyal 1
magazine 1
mail 1
make 1
makes 2
making 2
manages 1
many 1
mom 2
money 2
months 1
more 1
morning 3
mountain 5
mouth 1
move 2
much 1
must 1
mysteriously 1
name 1
names 1
neighborhood 1
next 1
nicknamed 1
night 5
noise 1
not 2
of 17
off 1
offering 1
offers 1
oklahoma 1
old 11
on 9
one 8
only 1
other 3
out 4
overalls 1
overjoyed 1
own 2
ozarks 3
packages 1
pair 3
papa 1
parents 2
past 1
personalities 1
plant 1
plays 1
prayer 1
prevents 1
price 1
pritchard 3
pritchards 1
promise 1
promises 1
puppies 5
putting 1
raccoon 6
raccoons 2
rainie 1
ready 2
realizes 2
really 1
recover 2
red 2
redbone 4
refuses 1
remembers 1
rest 1
revisit 1
rise 1
robber 1
round 1
rubin 4
run 1
runs 1
sad 1
sadly 1
save 3
scared 1
screaming 1
season 1
see 1
seems 1
sees 1
sends 1
sent 1
set 2
she 2
short 1
sight 1
silver 1
sisters 4
sixth 1
sleep 1
so 3
some 1
soon 2
sparrow 1
spends 1
sportsman 1
spots 1
sprains 1
spread 1
starts 3
store 1
stories 1
strength 1
strong 2
stronger 1
sycamore 1
tahlequah 1
take 2
taken 1
takes 2
teach 1
tell 2
than 1
that 11
the 67
their 4
them 13
then 1
there 2
they 10
third 1
this 1
three 3
throughout 1
to 40
told 1
town 2
trail 1
train 1
training 1
travels 1
tree 10
treed 1
tries 2
trying 1
two 4
until 1
up 6
uses 1
very 5
visit 1
waits 1
walking 2
want 1
wants 1
was 1
way 2
weeks 1
welltrained 1
when 6
where 1
which 2
while 2
will 3
wind 1
wins 2
with 12
woman 1
woods 1
work 1
works 1
worries 1
wounded 1
wounds 1
writes 1
years 1
younger 1
