1423977
/m/050dmj
/m/050dmj
Irvine Welsh
1995
{"/m/014dfn": "Speculative fiction", "/m/05hgj": "Novel"}
18 1
a 15
adolescent 1
advances 1
adventure 1
adventurer 1
affair 1
africa 2
after 1
all 1
ambiguous 1
an 4
analyst 1
and 17
apartheidera 1
are 2
around 1
as 3
assault 1
at 2
attached 1
attempts 1
authority 1
away 1
becomes 1
been 2
befriends 1
began 1
beginning 1
begins 1
bizarre 1
book 1
boy 1
briefly 1
brutal 1
brutality 1
but 4
by 6
called 1
capital 1
castrates 1
city 1
coma 3
come 1
completely 2
continues 1
cottish 1
creates 1
creature 1
darker 1
day 1
deadly 1
death 1
delusional 1
depression 2
despises 1
doctors 1
does 1
done 1
driver 1
drugdriven 1
dysfunctional 1
ecstasy 1
elusive 1
engulfs 1
enjoys 1
entire 1
escapism 1
evades 1
even 2
ever 1
everyone 1
extremely 1
family 2
fantasy 2
far 1
father 1
fc 1
feared 1
fearsome 1
feels 1
few 2
fictional 1
final 1
firm 1
first 3
flamboyantly 1
football 1
for 7
forced 1
from 2
fulltime 1
gang 5
gay 2
genuinely 1
gradually 1
group 1
grows 1
guide 1
guilt 1
halfbrother 1
halfbrothers 1
hallucinating 1
has 7
hated 1
haunt 1
he 20
her 2
hibernian 1
him 10
himself 3
his 16
hooligans 1
horrified 1
hospital 1
housing 1
however 2
hunt 1
images 1
in 14
informs 1
intertwined 1
intimidated 1
into 2
investment 1
involving 1
is 10
it 2
jailed 1
jamieson 1
job 1
join 1
joins 1
kidnaps 1
later 1
led 1
left 2
leith 1
lexo 1
life 5
local 1
love 1
lover 1
loyal 1
maintains 1
makes 1
marabou 1
mdash 1
meets 1
memory 1
mere 1
miserable 1
misogynistic 1
molested 1
moments 1
months 2
more 1
most 1
murdering 1
narrates 1
narrative 1
next 1
not 3
novel 2
now 1
of 8
one 4
only 1
or 1
other 2
over 1
parents 1
parts 1
past 1
peace 1
person 1
personality 1
place 1
previous 1
prison 1
probable 1
promiscuous 1
putting 1
rape 1
rapes 1
rapists 1
reader 1
real 1
realizes 1
really 1
reference 1
rejected 1
relocates 1
repeatedly 1
return 1
reveals 1
revives 1
rousing 1
roy 1
same 1
sandy 1
saying 1
scheme 1
scotland 2
scottish 1
service 1
sexual 1
she 4
sister 1
soon 1
south 2
spinsters 1
stabs 1
state 1
stop 1
stork 1
story 2
strang 9
strangs 1
streamofconsciousness 1
stricken 1
suicide 1
surreal 1
surrounded 1
survives 1
systems 1
take 1
takes 1
taking 1
taxi 1
tells 2
that 4
the 31
their 1
them 1
then 1
they 1
this 2
though 1
thug 1
time 2
to 9
too 1
top 1
town 1
true 1
try 1
two 2
uglier 1
uncaring 1
uncle 1
unexplained 1
until 1
victim 1
violence 1
violent 3
visits 1
was 1
what 1
when 4
where 2
whether 1
which 1
who 3
whom 1
widows 1
wilds 1
with 4
withdraws 1
woman 2
womanizer 1
world 1
wronged 2
years 2
young 1
