64029
/m/0h4wh
/m/0h4wh
Stephen King
1996-03
{"/m/01hmnh": "Fantasy", "/m/014dfn": "Speculative fiction", "/m/03npn": "Horror"}
104 1
132 1
16 1
64 1
68 1
a 20
abilities 1
accident 1
actually 1
after 3
agonizing 1
all 1
allowed 1
allows 1
alone 1
also 1
american 1
an 4
and 21
antagonized 1
anyway 1
are 3
arlen 1
arm 1
arms 1
around 1
arrival 1
arsonist 1
arthur 1
as 6
at 1
avoids 1
be 4
because 1
been 1
before 3
between 1
bill 1
billy 1
bitterbuck 1
black 1
block 1
book 1
boots 1
brain 1
briar 2
brine 1
built 1
bus 1
but 1
by 3
cajun 1
can 2
cap 1
catatonic 1
catch 1
causes 1
causing 1
chair 3
character 1
civil 1
coerced 1
coffey 2
cold 1
color 1
committed 1
commuted 1
connelly 1
convicted 2
cruelty 1
cure 1
cures 1
current 1
dangerous 1
deadly 1
death 3
del 4
delacroix 1
deliberately 1
demise 1
despite 1
determined 1
die 2
died 1
dies 2
discovers 1
disease 1
dislike 1
drug 1
during 1
each 1
edgecombe 1
eduard 1
elaine 3
electric 2
electrode 1
empathic 1
enjoys 1
ensure 1
escape 1
estate 1
events 1
eventually 1
executed 1
execution 2
executive 1
explains 1
falling 1
father 1
feelings 1
fellow 2
fight 1
finally 1
fire 1
first 1
firstperson 1
flanders 1
floor 1
for 2
fraud 1
from 3
gained 1
georgia 1
ghost 1
girls 1
go 1
governor 1
grabbed 1
green 1
guard 1
guards 4
had 1
hal 2
has 2
have 1
having 1
he 12
healed 1
healing 1
help 1
hesitantly 1
him 11
himself 1
his 6
home 2
hospital 1
how 4
however 1
immediately 1
imprisonment 1
in 11
include 1
inexplicable 1
infection 1
inhabitants 1
innocent 1
inside 1
insurance 1
interacts 1
into 2
introduces 1
irritating 1
is 14
it 1
jingles 3
john 15
just 1
kid 1
killed 2
killing 1
last 1
later 1
learning 1
leave 1
life 1
lifespan 1
linoleum 1
live 1
lived 1
lock 1
long 1
longer 1
longsimmering 1
love 1
mad 1
make 1
man 3
marks 1
melinda 2
mile 3
moores 1
mountain 1
mouse 2
mr 3
much 2
multiple 1
murderer 2
murdering 1
narrative 1
native 1
nearby 1
nephew 1
never 2
nicknamed 1
night 1
not 1
novel 1
now 1
nursing 1
of 13
offered 1
old 2
on 3
one 3
other 4
others 1
out 1
over 2
overpass 1
padded 1
pair 1
participates 1
passes 1
past 1
paul 13
penitentiary 1
percy 8
perpetrate 1
pines 1
position 1
possesses 1
powerfully 1
prison 1
prisoners 2
prolonged 1
proven 1
psychiatric 1
put 1
quick 1
raped 1
raping 1
rapist 1
ready 1
real 1
realizes 1
recovers 1
refuses 1
resident 1
restraint 1
return 1
revive 2
rid 1
ridge 2
right 1
room 1
row 1
run 1
sadistic 1
saw 2
secretary 1
seems 1
sensitive 1
sentence 1
sharing 1
shoot 1
shortly 1
shy 1
silent 1
simpleminded 1
sisters 2
small 1
smuggle 1
so 2
soaking 1
sponge 1
stamps 1
state 1
story 1
straitjacket 1
suffer 1
suffered 1
supervise 1
supervisor 1
supposed 1
suspicions 1
switch 1
switches 1
take 1
teaches 1
tells 2
that 8
the 38
their 2
them 1
then 2
these 1
they 4
thinks 1
this 1
those 1
thoughts 1
throughout 1
thrown 1
time 4
to 29
told 1
tract 1
tricks 1
trouble 1
trying 1
tucked 1
tumor 1
twin 1
two 1
unnaturally 1
unsure 1
until 1
urinary 1
uses 1
using 1
various 1
very 1
wanting 1
warden 1
was 2
watching 1
wetmore 1
wharton 6
what 1
when 5
which 4
white 1
who 5
whom 1
whose 1
wife 3
wild 1
wildacting 1
will 1
william 2
with 2
wondering 1
world 1
worry 1
year 1
years 2
