1587349
/m/05dmr_
/m/05dmr_
Ryu Murakami
1997
2 1
a 2
accompanying 1
american 1
an 1
and 1
around 2
bars 1
be 1
call 1
closing 1
clubs 1
could 1
december 1
end 1
events 1
finds 1
for 2
foreigners 1
frank 2
from 1
gaijin 1
girlfriend 1
good 1
gruesome 1
guide 1
has 1
he 3
himself 1
his 3
hostess 1
if 1
in 1
is 2
japanese 1
jun 1
kenji 2
men 1
money 1
more 1
named 1
navigates 1
news 1
nightlife 1
nights 1
of 3
on 1
out 1
pass 1
patron 1
phone 1
plasticskinned 1
promised 1
receives 1
recently 1
reported 1
responsible 1
seeks 1
services 1
sex 1
shinjuku 1
sixteen 1
spend 1
strange 1
the 6
three 1
time 1
to 2
tokyo 1
too 1
twenty 1
up 1
while 1
who 1
with 1
wondering 1
year 1
yearold 2
