1595100
/m/05f7tl
/m/05f7tl
James Clavell

a 7
abandon 1
about 1
accepting 1
accepts 1
actually 1
aftermath 1
agent 1
allegiance 1
america 1
an 3
and 7
are 1
arrested 1
asked 1
at 1
authority 1
be 1
been 4
benefit 1
but 1
by 1
camp 1
candy 1
change 1
child 1
children 4
class 1
classroom 2
commits 1
conquest 1
country 2
course 1
defeated 1
defends 1
during 1
every 1
everyone 1
fact 1
father 2
first 1
for 1
foreign 1
framing 1
from 2
had 1
has 2
have 1
having 1
he 3
her 1
himself 1
his 1
hostile 1
if 1
implied 1
implying 1
in 5
initially 1
is 6
it 2
johnny 1
know 1
leaving 1
lost 1
loyalty 1
means 1
minute 1
morning 1
named 1
national 1
new 3
none 1
not 1
occupied 1
occupiers 1
of 6
offering 1
one 1
only 2
opens 1
or 1
over 1
persuaded 1
place 2
placed 1
pledge 1
position 2
positive 1
power 1
praise 1
previous 1
propaganda 1
quickly 1
recited 1
reeducating 1
reeducation 1
regime 1
relentlessly 1
religion 1
removed 1
replaced 1
responds 1
responsible 1
rewarded 1
ritually 1
school 1
she 1
similar 1
songs 1
span 1
story 5
student 1
supportive 1
takes 2
teacher 5
techniques 1
that 4
the 24
their 2
thoughts 1
to 5
trained 1
twentyfive 1
unnamed 2
war 2
was 1
we 1
what 1
when 2
while 1
whose 1
with 4
won 2
would 1
wrong 1
