1595433
/m/05f8lx
/m/05f8lx
Eoin Colfer
2003-10-01
{"/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
1 1
2 1
3 1
4 1
a 11
abusive 1
act 1
again 1
aka 1
all 2
an 2
and 9
antagonists 1
at 1
attempt 1
attempted 1
aura 1
back 1
bad 1
balance 1
ball 3
bar 1
beelzebub 1
been 1
belch 6
between 1
blue 1
both 1
bought 1
brand 1
brendan 1
brennan 1
bullied 1
burglary 1
burst 1
but 1
by 3
chance 1
chief 1
cicely 1
cliffs 2
colleagues 1
complete 1
confrontation 1
correct 1
creature 1
criminal 1
croke 1
day 1
dead 1
decided 1
destroyed 1
dimwitted 1
disaster 1
does 1
dog 1
earns 1
earth 1
edge 1
elderly 1
elph 1
embarrassed 1
ends 1
engagement 1
entry 1
equipped 1
evil 1
explodes 1
explosion 1
family 1
feels 1
final 1
finn 1
following 1
forced 3
from 1
gains 1
gas 1
get 1
girlfriend 1
giving 1
good 1
granny 1
halfboy 1
halfdog 1
has 2
he 5
heaven 1
hell 2
help 2
her 9
herself 2
him 2
his 7
holiness 1
hologram 1
in 9
is 9
items 1
job 1
kick 1
killing 1
kiss 1
kissy 1
life 3
list 3
lowrie 4
made 1
make 1
making 2
man 1
many 1
mccall 1
meanwhile 1
meets 1
meg 9
merged 1
mistakes 1
moher 2
mother 3
new 2
nothing 1
of 9
on 2
onedate 1
only 1
order 1
over 2
park 1
perfect 1
popular 1
punch 2
raptor 1
recapture 1
redeem 1
resign 1
ring 1
rob 1
satan 1
saving 1
scare 1
school 1
send 1
sent 2
she 3
shoots 1
showing 1
sissy 2
smashing 1
soul 2
spit 1
stepfather 3
story 1
straight 1
talkshow 1
tank 1
television 1
that 4
the 13
them 1
things 1
to 10
trouble 1
tv 1
ultimately 1
vicious 1
video 1
wants 1
ward 1
watch 1
when 2
where 1
which 2
while 1
who 2
will 1
wish 2
with 3
work 1
