1736564
/m/05s3fy
/m/05s3fy
Chaim Potok
1972-03-12
150s 1
a 9
ability 1
about 2
achra 1
admirer 1
affect 1
affected 1
after 2
allows 1
almost 1
also 1
an 3
and 17
anxiety 2
appreciating 1
apprentice 1
around 1
art 4
artist 1
artistic 2
artists 1
as 2
asher 14
ashers 6
asked 1
asks 1
at 1
away 2
be 4
become 1
becomes 3
begins 1
best 1
between 1
born 1
boy 1
bringing 1
brings 2
brooklyn 1
brother 1
brothers 1
but 3
by 3
calls 1
cannot 1
childhood 2
community 3
complains 1
conflict 2
considers 1
constant 1
continue 1
copying 1
crucifix 1
crucifixion 1
crucifixions 2
death 1
decided 1
decides 1
denied 1
devoted 1
didnt 1
doesnt 2
during 2
early 1
easier 1
especially 1
even 1
eventually 1
express 1
expression 1
faith 1
family 2
father 7
finally 2
foolish 1
for 3
formidable 1
friends 1
from 1
furious 1
further 1
get 1
gets 1
gift 3
go 2
goes 2
good 1
greatest 1
grows 1
had 1
has 1
hasidic 1
he 7
help 1
her 8
him 3
his 17
home 1
however 1
hurt 1
husband 2
imagery 1
in 7
incapable 1
inclination 1
intercedes 1
interested 1
into 5
is 9
it 4
jacob 4
jew 1
jewish 3
jews 2
joseph 1
just 2
kahn 4
killed 1
know 1
leader 1
leave 1
lev 1
life 2
living 1
long 1
loves 1
make 1
man 1
masterpiecea 1
members 1
middle 1
more 2
mother 4
museums 1
nature 1
neglects 1
night 1
nonobservant 1
not 2
nudes 2
of 17
offends 1
one 2
ones 2
only 1
or 3
other 2
paint 1
paintings 5
parents 1
particularly 1
passed 1
persecution 1
possibly 1
practice 1
primarily 1
prodigious 1
proud 1
rebbe 6
relate 1
religious 1
returned 1
russia 1
sacrilege 1
safety 1
sect 1
sees 1
serving 1
set 1
severely 1
she 4
side 1
since 1
sitra 1
so 1
son 2
soviet 1
stalin 1
starts 1
stay 1
story 1
strong 1
studies 2
study 1
success 1
suffers 1
support 1
symbolism 1
teacher 1
teaches 1
teachings 1
than 1
that 3
the 30
their 2
them 1
then 1
they 2
things 1
thinks 1
this 4
time 2
to 23
torment 1
torn 1
traumatized 1
travel 1
traveling 3
trip 1
trouble 1
two 1
under 1
understanding 1
union 1
unrelated 1
up 1
upon 1
upset 1
uses 1
values 1
very 3
vienna 3
want 1
wanted 1
wanting 1
was 2
waste 1
where 1
whether 1
which 2
while 3
who 5
whole 1
will 1
with 4
work 3
world 1
would 2
yet 1
