1847951
/m/060qp1
/m/060qp1
Penelope Lively
1987
10 1
11yearold 1
120 1
148 1
156 1
70 1
76yearold 1
a 30
about 2
abroad 1
accepts 1
accident 1
accolades 1
accompanying 1
actual 1
admire 1
after 4
again 2
age 2
alamein 1
all 1
allow 1
allows 1
almost 2
alone 3
along 1
also 1
an 6
and 39
any 2
anyone 1
apologize 1
apology 1
are 5
armoured 1
artist 1
as 3
aside 2
ask 2
at 7
attempt 2
away 1
based 1
battle 1
be 1
become 4
becomes 3
been 4
before 1
begin 1
behind 1
being 2
best 1
beyond 1
bitterness 1
blueprint 1
book 1
books 1
boring 2
both 3
boy 1
briefly 1
brother 1
but 5
by 5
c 1
cairo 2
called 1
cancer 1
cannot 1
captain 1
car 1
care 1
careers 1
carried 1
changed 3
child 4
claudia 29
cold 1
college 2
comes 1
companionship 1
competing 1
connected 1
consciousness 1
consultant 1
contact 1
containing 1
conversations 1
correspondent 2
cortez 1
courage 2
culminates 1
custody 1
day 1
death 3
decides 5
declared 1
defend 1
desert 1
details 1
diagnosed 1
diary 4
dictate 1
died 3
dies 1
different 2
disapproving 1
distant 1
division 1
does 1
done 1
drastically 1
during 2
dying 1
each 3
earning 1
earns 1
economist 1
effects 1
egypt 2
el 1
else 1
encounter 1
ends 2
england 1
english 3
enterprising 1
entries 1
erwin 1
etched 1
even 2
event 1
events 1
ever 1
everything 1
experienced 1
fact 1
falling 1
far 1
father 1
fear 1
feel 1
feet 1
fetch 1
few 2
figure 1
finally 1
find 1
finds 5
first 2
for 9
forever 1
forthcoming 1
fossils 1
friendly 1
friends 1
friendship 1
from 8
front 1
functionary 2
future 2
gaping 1
girl 2
girlfriend 1
goes 1
gordon 8
grandmothers 1
grows 2
had 2
hampton 1
hand 1
hard 1
has 7
haunt 1
have 6
having 3
he 4
her 25
herself 2
him 1
his 1
historian 1
historians 1
history 4
honest 1
horrible 1
hospital 1
how 1
however 1
hungarian 2
hungary 1
i 1
ii 1
ill 1
imminent 1
imperfect 1
implicated 1
in 17
incestuous 1
independent 1
india 1
indifferent 1
insipid 1
intention 1
into 1
is 23
isnt 1
it 7
jasper 3
jennifer 1
just 1
knew 2
know 1
knowing 2
knows 1
last 1
late 1
later 2
lazlo 3
leads 1
leave 1
leaves 1
left 1
let 1
life 3
lisa 8
little 1
lives 1
living 1
long 1
look 1
love 2
loved 1
lovers 1
loves 1
make 2
making 1
man 2
marries 2
marrying 1
masses 1
materialize 1
maternal 1
meanwhile 1
meets 1
memories 1
memory 1
met 1
miscarries 1
missing 1
moments 1
more 3
most 1
mother 2
movie 2
much 1
muster 1
musters 1
named 1
never 2
news 1
next 1
no 1
not 5
note 1
nothing 1
obviously 1
of 20
off 3
offensive 1
often 1
omnipotent 1
on 8
one 2
only 1
open 2
openly 1
or 1
other 7
out 3
outset 1
outside 1
outward 1
over 2
own 1
package 1
pain 2
painful 1
painfully 1
passed 1
passes 1
passionate 1
paternal 1
patience 1
peace 1
persecution 1
person 1
personal 2
plans 1
point 1
popularize 1
poring 1
post 1
pregnant 2
press 1
primordial 1
professional 2
public 1
raise 1
raised 1
rather 1
reach 1
read 1
realizing 1
recalled 1
receives 2
recognizing 1
recollections 1
recovered 1
referred 1
reflect 1
refuses 1
relate 1
relationship 3
remaining 1
respectable 1
rest 1
return 1
reunite 1
revel 1
revolution 1
right 1
rivals 1
rommel 1
scandal 1
scorn 2
see 2
seemed 1
seemingly 1
selfdestructive 1
sensitive 1
sent 2
set 1
sets 2
several 1
share 2
she 24
short 1
shortly 3
should 1
sister 1
so 3
some 1
son 1
soon 2
sort 1
soul 1
southern 2
sparse 1
spend 1
spending 1
star 1
still 1
stormy 1
studies 1
sullen 1
summer 1
sure 2
surprisingly 1
surrogate 1
suspects 1
sweeps 1
sylvia 1
synonymous 1
talks 1
tank 1
teens 1
tentatively 1
terminally 1
than 3
that 18
the 45
their 7
them 2
there 1
thereafter 1
they 2
thing 2
things 1
thinking 1
this 1
those 1
though 1
throughout 2
time 4
times 1
to 44
together 3
told 1
tom 10
too 1
travel 1
travels 1
tries 1
try 1
turns 1
two 1
ultimately 1
unable 1
uncertainty 1
unlikely 1
up 4
upbringing 1
upon 1
visits 1
void 1
war 7
was 2
way 1
weekend 1
well 1
when 6
where 1
whereas 1
whether 1
which 2
while 3
who 11
wholly 1
will 3
with 11
woman 2
world 4
would 1
wouldbe 1
writes 1
writing 1
years 3
young 2
