1998419
/m/06cy25
/m/06cy25
Anne Rice
2000-10-17
{"/m/014dfn": "Speculative fiction", "/m/03npn": "Horror", "/m/02xlf": "Fiction"}
a 14
adventure 1
adventures 1
adversary 1
after 1
again 1
all 1
allowing 1
along 1
america 1
an 2
ancestors 1
and 18
are 3
aroused 1
as 4
at 2
attempts 1
avid 1
bake 1
beautiful 2
because 1
beginning 1
blood 2
book 1
builds 1
burn 1
but 1
by 10
called 1
can 2
cave 3
central 1
challenges 1
clan 1
claudia 3
cold 1
collectively 1
commit 1
compelled 1
completely 1
confirm 1
conjectures 1
considerable 1
contracted 1
corporeal 1
could 1
created 1
cured 1
damned 2
dark 1
david 12
deathly 1
demerrick 1
des 1
detailing 1
diary 2
die 1
disease 2
do 1
does 1
doesnt 1
draw 1
dreams 1
elders 1
end 1
enmity 1
enough 1
escape 1
esmerrick 1
ethereal 1
eventually 1
evolved 1
falls 1
fatal 1
final 1
find 2
finds 1
flashback 1
flat 1
followed 1
foolishly 1
for 1
form 1
forward 1
found 1
french 1
frighten 1
frmerrick 1
from 6
ghosts 1
gift 1
given 1
grand 1
great 2
growing 1
had 2
handle 1
harsh 1
has 1
have 3
he 5
heks 1
help 1
her 8
him 3
himself 1
his 1
history 1
honey 2
hospital 2
however 1
human 2
if 1
in 11
include 1
including 1
individually 1
inexorably 1
influence 1
instill 1
intact 1
interesting 1
into 1
involves 1
is 9
isabella 1
it 4
itmerrick 1
jade 1
jesse 1
journey 1
julien 1
kept 1
knew 1
la 1
leaps 1
lestat 5
letter 1
livro 1
long 1
longer 1
looking 1
lost 1
louis 6
loves 1
lust 1
made 1
magic 1
maharet 1
major 1
malevolence 1
malevolent 1
man 1
mask 2
matthew 1
mayfair 4
meet 2
member 1
merrick 15
moment 1
more 1
mortal 1
most 1
mother 1
my 1
mysterious 1
nananne 1
narrated 1
nlde 1
no 1
not 1
notable 1
novel 3
novela 1
oder 1
of 17
offshoot 1
on 1
once 1
oncle 1
one 5
only 1
or 3
other 1
pandora 1
placate 1
plmerrick 1
point 1
potent 1
powerful 1
powers 4
powie 1
presence 1
preternatural 1
previously 1
priest 1
protect 1
protecting 1
psychic 1
ptmerrick 1
quarter 1
queen 2
rather 1
readers 1
receive 1
receiving 1
recently 1
recounting 1
remain 1
require 1
resembles 1
respect 1
restore 1
resurrecting 1
retrieved 1
reveals 1
roman 1
ru 1
sandra 1
scheme 1
schuld 1
see 4
seeks 1
shared 1
she 5
showering 1
shuffled 1
sick 1
sister 2
so 3
society 1
some 1
sometimes 1
spirit 4
spirits 3
stated 1
statement 1
states 1
stemming 1
still 1
strega 1
suicide 1
sun 1
sunshine 1
supernatural 1
surprised 1
talamasca 3
talamascans 1
talbot 2
talking 1
than 1
that 8
the 39
their 2
them 1
then 1
they 6
thinks 1
this 3
though 1
threaten 1
through 2
to 12
towards 1
transformation 1
treacherous 1
treasure 2
tries 1
turning 1
two 2
undertake 1
upon 3
used 1
vampire 3
vampires 2
vampirism 1
vampirs 1
vaults 1
vervain 1
very 3
wage 1
war 1
warning 1
was 4
watcher 1
we 1
weaker 1
were 2
what 1
when 1
where 1
wherein 1
which 2
while 1
who 3
whose 1
will 1
witch 3
with 6
words 1
working 1
would 1
writes 1
you 3
yourselves 1
