2029175
/m/06g8rs
/m/06g8rs
Audrey Niffenegger
2003-09-17
11 1
163 1
171 1
177 1
18 1
184 1
2006 1
20yearold 1
28yearold 1
43 2
82 1
a 19
ability 1
able 1
abshire 1
abused 1
accidentally 1
adolescence 1
advice 1
after 1
again 1
age 1
alba 2
all 1
also 2
alternating 1
although 1
always 1
amasses 1
amputated 1
an 1
and 22
anne 1
anomaly 1
another 1
anything 1
appear 1
are 4
arms 1
arrives 3
artist 1
as 5
asking 1
at 7
backward 1
be 6
because 1
before 2
beginning 1
begins 1
beyond 1
birth 1
birthday 1
book 1
born 3
both 1
boy 1
bringing 1
brother 1
but 3
by 3
calm 1
can 1
cannot 1
causes 1
certain 1
certainly 1
chicago 2
childhood 1
chronodisplacement 2
chronologyhenry 1
clare 14
clasp 1
close 1
clothes 1
clothing 1
comes 1
control 3
converge 1
dates 1
daughter 2
death 1
describes 1
destinations 2
detamble 1
devastated 1
develop 1
diagnosed 1
diary 1
die 1
died 1
dies 1
disorder 1
done 1
dr 1
during 3
each 1
earlier 1
early 1
eighteenth 1
escape 1
eve 1
feet 1
fetus 1
few 1
field 1
find 2
finds 1
first 2
firstperson 1
five 2
food 2
for 5
foreshadowed 1
forward 1
frighten 1
frigid 1
from 4
frostbite 1
further 1
future 5
garage 1
genetic 2
geneticist 1
gives 2
goes 2
has 7
haven 1
he 19
help 1
helps 1
henry 24
her 11
him 6
himself 1
his 14
history 1
how 1
however 1
humiliate 1
hypothermia 1
in 16
inadvertently 1
including 1
into 2
involuntarily 1
is 13
jogging 1
jumping 1
jumps 1
keep 1
kendrick 1
know 1
known 2
last 5
later 1
learns 2
leaves 1
letter 1
librarian 1
library 3
librarytheir 1
life 3
list 1
lockpicking 1
long 1
love 2
make 2
makes 1
married 1
marry 1
may 4
meeting 2
meets 2
michigan 2
middle 1
miscarriages 1
moment 1
most 3
much 1
naked 1
naturally 1
never 1
new 1
newberry 2
next 1
night 2
not 1
novel 3
number 1
of 16
often 2
old 3
older 1
on 6
once 1
one 3
opening 1
or 3
other 1
out 1
over 2
own 2
pain 1
paper 1
parking 1
passing 1
past 2
perspective 1
perspectives 1
pharmaceuticals 1
pickpocketing 1
place 1
places 1
point 1
pregnancy 1
present 3
presumably 1
provide 1
rare 1
related 1
relationship 1
relative 1
remain 1
remember 1
result 1
returns 2
reveals 1
save 1
scene 2
school 1
sculptures 1
searches 1
see 1
seeks 1
seen 1
selfdefense 1
separated 1
she 13
shelter 2
shot 1
six 2
skills 1
so 1
some 1
south 1
starts 1
stimuli 1
stop 1
stories 1
stress 1
struggles 1
subconscioushe 1
subsequently 1
such 1
suffers 1
survival 1
take 1
takes 1
tells 1
tenyearold 1
term 1
that 5
the 31
their 2
them 1
then 2
they 6
this 1
through 1
tied 1
time 11
timeline 1
timelines 1
times 1
to 24
travel 2
traveling 3
travels 6
trigger 1
trip 1
trips 1
trouble 1
two 1
unable 1
unlike 1
until 1
using 1
vasectomy 1
version 1
versions 1
visit 1
visited 1
visits 2
waiting 2
well 1
what 2
when 12
where 2
which 3
who 2
wife 1
will 6
winter 1
wishes 1
with 3
within 1
without 1
woods 1
writes 1
year 2
years 4
youth 1
