2084436
/m/06l3dp
/m/06l3dp
Agatha Christie

{"/m/0lsxr": "Crime Fiction", "/m/02n4kr": "Mystery", "/m/0dwly": "Children's literature", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
15 1
160 1
3 1
a 17
able 3
about 1
accordingly 1
actress 1
adopted 1
adoption 1
adoptive 1
affair 1
after 4
again 1
agent 1
agrees 1
alistair 3
an 5
and 17
anyone 1
apparently 2
appear 1
appears 1
approached 1
are 2
ariadne 1
as 1
asks 1
assumption 1
at 5
attack 1
attempt 2
attitude 1
ayah 1
based 1
be 2
been 1
before 1
behind 1
believe 1
between 1
bit 1
bitten 1
blame 1
bodies 1
both 2
boys 1
bullet 1
burtoncox 4
burtoncoxs 2
but 5
by 5
called 1
can 1
case 1
celia 8
child 1
children 1
circumstances 1
cliff 2
committed 2
conduct 1
conducted 1
connected 1
considerable 1
consulting 1
contacted 1
contacting 1
corpse 1
couple 1
daughter 2
days 1
death 4
decides 1
deeper 1
delve 1
desmond 6
details 1
die 1
died 3
difference 1
different 1
discover 1
discovers 1
disquieting 1
dog 2
dolly 9
dollys 1
dorothea 1
double 1
drowning 1
each 1
elderly 1
elephant 1
elephants 2
else 1
employed 1
engaged 1
england 1
episode 1
evening 1
events 1
explain 1
explains 1
face 1
facts 2
family 3
fatally 1
fenn 2
few 2
fianc 1
fingerprints 1
foot 1
for 1
fortune 1
found 2
four 1
friend 2
from 3
future 1
general 1
generally 1
getting 1
gives 1
goby 1
godmother 1
governess 1
governesses 1
had 9
happened 1
has 1
have 2
he 4
her 11
hercule 1
herself 1
him 3
his 6
homes 1
house 1
husband 3
identical 1
if 1
illegitimate 1
important 1
in 7
incidents 1
including 1
india 1
indian 1
infant 1
inherit 1
initially 1
injured 1
injuring 1
interviews 1
into 1
investigation 2
investigative 1
invites 1
is 9
issue 1
it 4
its 1
jarrow 1
kathleen 2
kill 1
killed 1
killing 1
knew 1
knowing 1
knows 1
late 1
later 2
latter 1
lausanne 1
led 1
left 4
less 1
life 2
light 1
like 1
literary 1
little 1
long 1
love 1
luncheon 1
made 2
major 1
malaya 1
manor 1
margaret 3
married 2
may 3
meauhourat 1
memories 1
misremembers 1
mistress 1
molly 5
mollys 1
money 2
month 1
mother 1
mr 1
mrs 8
murder 1
murdered 1
murderer 1
murdersuicide 1
must 1
names 1
near 1
neighbour 1
no 3
notes 1
now 1
nowdeceased 1
nursing 1
obtain 1
october 1
of 20
off 2
oliver 4
on 6
one 1
only 3
or 3
order 2
original 1
origins 1
otherwisedevoted 1
overcliffe 2
owned 1
parents 1
part 1
particular 1
past 1
periods 1
personal 1
place 1
plans 1
playing 1
poirot 5
poirots 1
police 1
prestongrey 1
prevent 2
previously 1
promise 1
protect 1
protracted 1
prove 1
proverbial 1
psychiatric 1
psychotic 1
put 1
puzzle 1
question 1
ravenscroft 7
ravenscrofts 4
recognise 1
remembers 1
resolve 1
returns 1
revolver 1
role 1
sadness 1
school 1
second 1
september 1
seriously 1
servants 1
served 1
set 1
several 1
she 9
shortly 1
significance 1
sister 1
sisters 2
sleepwalked 1
solve 1
some 1
something 1
son 3
space 1
spent 1
staying 2
strongly 1
substantiate 1
such 1
suggestion 1
suicide 2
suspected 1
suspects 1
ten 1
term 1
terms 1
than 1
that 10
the 47
their 3
them 1
there 1
they 3
thinks 1
this 2
thus 1
time 3
to 22
together 2
took 1
tried 1
true 1
truth 3
try 1
turning 1
twin 1
two 3
ultimately 1
under 1
unearth 1
unlovely 1
unremarkable 1
use 1
very 2
violent 1
was 11
weeks 1
were 3
what 2
where 1
whether 1
which 3
while 3
who 5
whom 4
whose 1
why 1
wife 1
wigs 1
will 1
with 8
within 1
witnesses 1
woman 1
would 1
wounds 1
years 1
zlie 2
