80124
/m/0ks36
/m/0ks36
Jeffrey Eugenides
1993
13yearold 1
14yearold 1
15yearold 1
16yearold 1
170s 1
17yearold 1
a 18
absence 1
after 5
aftereffects 1
all 2
also 1
an 1
and 12
another 1
are 3
area 1
arrive 1
as 1
astute 1
at 1
attempt 1
attempts 2
become 2
before 1
begins 1
believing 1
bonnie 2
boston 1
boys 5
but 2
by 5
call 1
can 1
carbon 1
catholic 1
cause 1
cecilia 5
change 1
chaperoned 1
collect 1
come 1
comes 1
coming 1
communicate 1
condition 1
consequently 1
continues 1
couple 1
courage 1
curfew 1
cutting 1
dance 2
dates 1
daughters 1
deeper 1
described 1
deteriorate 1
dies 2
disrepair 1
distance 1
dramatically 1
during 2
effects 1
either 1
ending 1
evidence 1
fails 1
falls 1
family 3
fascinating 1
father 1
fence 1
few 1
field 1
finally 1
finds 1
first 1
five 1
fontaine 1
football 1
for 4
freeforall 1
from 4
garage 1
general 1
girl 1
girls 8
gossip 1
grosse 1
hangs 1
has 1
having 1
he 1
head 1
heartthrob 1
help 1
her 4
herself 1
high 1
homecoming 1
homemaker 1
house 5
impaled 1
in 7
increasingly 1
intervene 1
into 1
is 3
it 1
its 1
jumps 1
kill 1
later 1
leave 3
life 1
linda 1
lisbon 6
lisbons 5
live 1
lives 2
living 1
local 1
lux 5
mary 3
mass 1
math 1
mention 1
message 1
michigan 1
misses 1
monoxide 1
month 1
most 1
mother 1
mr 3
mrs 3
much 1
mystique 1
narrator 1
narrators 2
negotiates 1
neighborhood 6
newspaper 1
no 1
none 1
notes 1
novel 1
of 12
officially 1
on 4
one 2
operates 1
or 1
other 1
out 2
outsider 1
oven 1
over 1
overdoses 1
overprotective 1
particular 1
party 1
people 1
perl 1
permeates 1
personal 1
pills 2
playing 1
pointe 1
poisoning 1
popular 1
post 1
private 1
pulls 1
putting 1
recluses 1
records 1
recover 1
romance 1
ronald 1
safe 1
sale 1
scavenge 1
school 3
second 1
send 1
sex 1
shortly 1
sisters 1
sleeping 2
smell 1
sold 2
state 1
stoic 1
story 1
strange 1
subjects 1
successfully 1
suicide 5
summer 1
summon 1
take 1
takes 1
taking 1
teacher 1
telephone 1
that 4
the 49
their 3
them 1
themselves 1
therese 2
they 1
this 1
three 2
through 1
throw 1
thrown 1
time 1
to 10
trash 1
trip 3
up 1
watch 1
weeks 1
when 1
which 1
window 1
with 3
within 1
would 1
wrists 1
writer 1
year 1
young 1
