2213732
/m/06wfcw
/m/06wfcw
Charlie Higson
2006-01-05
{"/m/06wkf": "Spy fiction"}
a 24
able 1
aboard 1
about 1
achieves 1
achieving 1
actually 1
additionally 1
adventure 1
afford 1
after 2
again 2
against 1
allowing 1
almost 1
also 2
ambushed 1
amy 14
an 1
and 25
annoyance 1
any 1
are 4
arrive 1
arrives 1
arriving 1
artist 1
as 9
asking 1
at 6
attacks 1
attempted 1
attends 1
aware 1
away 2
back 1
bad 1
band 1
be 3
beach 1
bear 1
becomes 1
bed 1
begin 1
begins 1
betting 1
blood 1
board 1
bond 20
both 1
bringing 1
brother 1
but 3
by 9
cannot 1
carnifex 13
carrier 1
cell 1
classmates 3
club 1
colleague 1
comfort 1
command 1
compensate 1
consistently 1
convinces 1
cooperffrench 1
could 1
count 2
country 1
cousin 2
danger 1
day 2
deceased 1
declares 1
defunct 1
delacroix 3
departs 1
destruction 1
dies 1
dipping 1
dismay 1
distracts 1
double 1
down 1
during 4
earlier 1
empire 2
employees 1
escaping 1
eton 2
eventually 1
exactly 1
fails 1
falls 1
father 2
feeding 1
fever 1
field 2
finally 1
finds 1
flies 1
flooding 1
follow 1
followers 1
following 1
for 8
formed 1
fraud 1
friend 2
from 4
funding 1
get 2
girl 1
given 1
gives 2
glory 1
go 4
good 1
goodenough 4
great 1
griefstricken 1
group 1
had 3
haight 4
hands 1
has 1
have 1
having 1
he 3
help 1
her 7
high 1
him 5
himself 1
hiring 1
his 18
history 2
hitting 1
host 1
how 1
however 5
hugs 1
identified 1
in 9
informs 1
instead 1
into 4
is 19
it 3
italian 1
itches 1
items 1
its 1
james 8
jana 1
jumping 1
just 1
kill 1
killed 1
killing 2
kiss 1
kisses 1
knife 1
known 1
knows 1
later 3
lavish 1
leader 1
learn 1
learns 2
leaving 2
let 1
life 1
lifestyle 1
located 1
long 1
looms 1
loyal 1
lying 1
m 2
magyar 3
malaria 1
man 1
many 1
mark 2
marked 1
mauro 2
maximum 1
measure 1
mediterranean 1
member 1
men 1
middle 1
millenaria 3
monique 1
mosquitoes 2
mother 1
mountains 1
much 2
murder 1
mysterious 1
named 1
near 1
night 1
not 2
now 2
of 23
off 1
on 6
once 3
one 4
opportunity 1
over 1
own 1
ownership 1
pain 2
palace 7
part 1
peter 3
pirates 2
place 1
plane 1
plans 2
plunder 1
point 1
poison 2
poisoned 1
poliponi 1
possessions 1
preventing 1
priceless 1
prior 2
prisoner 1
process 2
professors 1
prologue 1
protection 1
put 1
questions 1
ransack 1
reader 1
relation 1
relax 1
reluctant 1
remove 1
reorganized 1
rescue 2
rescued 1
restore 2
return 1
reunited 1
reveals 1
revenge 1
risktaking 1
rock 1
roman 2
ruins 1
sardinia 4
saved 1
scratching 1
sea 3
secret 2
servant 2
she 5
shirt 1
shoulder 1
silverfin 1
sister 2
skinny 1
slips 1
sneaks 2
society 2
some 1
spend 1
steps 1
straight 1
strange 1
strapped 1
stripped 1
subsequently 1
succeed 1
such 2
suddenly 1
summer 1
surface 1
swears 1
swept 1
taken 1
task 1
teenage 1
that 4
the 46
their 2
them 2
there 2
they 1
things 1
though 1
throughout 1
throwing 1
thus 1
time 2
to 30
together 1
tongue 1
too 1
took 1
tortures 1
tour 1
town 1
tragedy 1
travels 1
tricks 1
trip 1
turns 1
ugo 2
unable 1
under 1
unique 1
unwilling 1
up 2
urchin 1
urchins 1
vacation 1
valuable 1
vendetta 3
vengeance 1
vessel 1
victor 6
villa 2
visit 1
wade 1
waiting 1
was 1
water 1
way 1
well 1
when 4
where 2
which 3
while 4
who 8
whom 1
whose 1
will 2
with 9
witness 2
would 1
yacht 3
young 1
zoltan 8
