2220320
/m/06wytx
/m/06wytx
Beverly Cleary
1982
{"/m/0dwly": "Children's literature"}
a 4
accidentally 1
adopt 1
aggressive 1
agitated 1
all 1
also 3
an 1
and 13
antimouse 1
are 1
as 2
asks 1
at 2
atones 1
away 1
be 1
become 1
becomes 1
befriended 1
beginning 1
blames 1
books 1
boy 3
brad 8
breaking 1
breaks 1
brings 1
brothers 1
building 1
bus 1
but 1
by 6
can 4
car 5
careless 1
class 2
classmates 1
comes 1
common 1
confronts 1
cousins 1
day 1
decide 1
destruction 1
difficulties 1
discover 1
discovered 1
discovers 2
do 1
drive 1
droppings 1
due 1
engine 1
family 1
father 1
floor 1
for 5
forced 1
friend 1
friends 1
from 1
full 1
further 1
give 1
given 1
giving 1
has 2
have 1
having 1
he 5
hide 2
him 7
his 10
home 1
hotel 1
how 1
however 1
in 5
initial 1
inn 2
irresponsible 1
is 5
it 2
later 1
let 1
life 1
like 1
live 1
maid 1
making 1
marry 1
maze 1
meanwhile 1
meets 1
middle 1
months 1
mother 1
motorcycle 5
mouse 1
move 1
much 1
name 2
named 2
new 2
noises 1
not 1
now 1
numerous 1
of 4
offers 1
on 3
only 1
out 2
parents 1
pet 1
plans 1
playing 1
previous 1
ralph 14
realizing 1
reclaims 1
relatives 1
rest 1
result 1
retaliation 1
ride 1
rides 1
right 1
run 1
runs 1
ryan 11
s 1
safely 1
school 3
see 1
seen 1
set 1
siblings 1
six 1
smart 2
son 1
staff 1
standing 1
take 1
talk 1
that 7
the 17
their 2
they 3
things 1
this 1
through 1
thus 1
time 1
to 11
toy 1
treasured 1
treatment 1
two 1
visit 1
wear 1
where 1
which 1
while 1
who 1
will 2
with 4
without 1
worried 1
worrying 1
would 1
young 1
younger 2
