2248231
/m/06z1nd
/m/06z1nd
Nancy Garden
1982-07
a 13
about 2
academy 2
acceptance 1
accepted 1
administrator 1
admits 1
after 1
allow 1
allowed 1
although 3
always 1
an 2
and 23
annie 12
architect 1
are 4
art 1
as 4
at 6
attempts 1
attend 1
backgrounds 1
basement 1
be 3
become 3
been 1
before 2
berkeley 1
board 2
body 1
book 1
bookkeeper 1
both 2
break 4
bring 1
brooklyn 2
brother 1
but 2
by 2
cabdriver 1
california 1
calls 1
care 1
cats 1
causes 1
close 1
closer 2
coasts 1
college 1
colleges 2
come 1
comes 1
conceived 1
concomitant 1
confusion 1
considered 2
corresponding 1
day 1
deal 1
decide 1
defend 1
develop 1
different 4
discovered 1
discovering 1
discovers 1
dismissal 1
do 1
during 1
ear 1
encountered 1
end 2
events 1
expel 1
falling 1
family 1
fast 1
favor 1
feeding 1
female 1
finds 1
fired 1
first 2
for 3
forced 1
foster 3
framed 1
friends 1
friendship 1
from 1
gay 2
get 1
girls 6
give 1
go 3
goals 1
goes 1
going 1
grandmother 1
grows 1
guilt 1
had 1
hard 1
has 4
have 1
having 1
headmistress 1
heights 1
helps 1
her 15
herself 2
high 1
histories 1
home 2
hopes 1
house 1
however 1
if 1
in 12
initial 1
instead 1
into 2
is 8
job 1
keep 1
kenyon 1
kiss 1
lead 1
letter 2
letters 1
life 1
live 1
lives 2
liza 16
love 2
lowerincome 1
mail 1
many 2
may 1
meet 1
meeting 1
meets 1
metropolitan 1
mit 1
most 1
museum 1
narrated 1
narration 1
neighborhood 1
not 3
of 16
on 4
open 1
or 1
order 1
organizes 1
orientation 2
out 1
parents 2
part 1
partly 1
piercing 1
planned 1
poorly 1
position 1
president 2
private 1
process 1
professionals 1
program 1
public 1
quickly 1
rainy 1
realizes 1
reassure 1
reconcile 1
reevaluation 1
relationship 3
remain 1
residents 1
response 1
results 1
reunite 1
right 1
rules 1
school 8
sent 1
separate 1
sexual 2
share 1
she 14
shock 1
singer 1
soon 1
spring 1
stay 1
staying 1
still 1
struggles 1
struggling 1
student 3
students 1
studying 1
supportive 1
sure 1
suspension 2
taking 1
talent 1
teachers 3
tell 1
thanksgiving 1
that 4
the 29
their 8
they 3
this 2
thought 1
thoughts 1
threeday 1
time 1
to 22
together 6
trustees 1
turn 1
two 7
unable 1
unexpected 1
university 1
until 1
upscale 1
vacation 1
very 1
volunteers 1
way 1
ways 1
when 1
where 2
while 2
who 3
will 1
winter 2
winthrop 1
with 6
working 1
worry 1
write 2
younger 1
