82960
/m/0l862
/m/0l862
Barbara Pym
1952
150s 1
a 7
accepts 1
activities 1
after 1
allegra 3
along 1
and 7
another 1
anthropologist 2
around 1
arrival 1
as 2
becomes 1
been 1
birds 1
bone 1
book 1
books 1
busy 1
but 1
care 1
characters 1
church 1
close 1
come 1
comic 1
course 1
cup 1
dashing 1
details 1
does 1
drawing 1
ease 1
elderly 1
engaged 1
england 1
eventually 2
everard 4
everyday 1
exciting 1
fancies 1
for 2
form 1
friend 1
glamorous 1
gray 1
grows 1
handsome 1
has 1
head 1
helena 2
her 4
herself 1
him 1
husband 1
important 1
in 4
is 3
it 1
julian 2
jumble 1
keeps 1
lathbury 1
leaves 2
leaving 1
less 1
life 2
local 1
love 1
malory 1
matters 1
meantime 1
meets 1
mildred 6
more 1
most 1
mother 1
napier 1
napiers 1
nearromances 1
neighbourhood 1
neighbours 1
new 1
not 1
obsessed 1
of 10
on 1
others 1
out 1
own 1
perpetually 1
plot 1
precise 1
proceeds 1
pym 1
quarrel 1
relationship 1
revolves 1
rocky 3
sales 1
selfdeprecating 1
sharpest 1
she 1
sister 1
situations 1
spinster 1
subplot 1
such 1
tea 1
than 1
that 2
the 15
thirties 1
those 1
through 1
to 3
ubiquitous 1
verge 1
vicar 1
vicarage 1
who 3
whom 1
widow 1
will 1
winifred 1
wit 1
with 8
