2447727
/m/07ds44
/m/07ds44
Daniel Pinkwater
1979
{"/m/03mfnf": "Young adult literature", "/m/01z4y": "Comedy"}
24 1
a 8
aboard 1
actually 1
almost 1
ambrose 1
an 2
and 6
are 1
ashore 1
beef 2
board 1
boy 1
buy 1
by 2
called 1
can 2
cannot 1
captain 4
consists 1
corned 2
crew 1
curse 1
decent 1
dutchman 1
equally 1
eugene 1
every 1
expedition 1
find 2
five 1
float 1
floating 1
flying 1
get 1
gets 1
giant 1
has 3
he 3
him 3
himself 1
his 2
hours 1
hugely 1
hydroplaning 1
if 1
in 4
invites 1
is 3
it 1
join 1
lake 1
learn 1
life 1
like 1
locks 1
machine 1
mcfwain 1
miles 1
monster 1
much 1
named 1
new 1
no 1
not 1
obese 2
of 3
offer 1
on 3
only 2
ontario 1
or 1
party 1
pig 1
preserver 1
professor 1
realize 1
recruited 1
rochester 1
sandwich 2
scientist 1
sea 1
search 1
selfsufficient 1
seven 1
shape 1
ship 2
shore 2
someone 1
straaten 2
submarine 2
surface 1
swim 1
tester 1
that 2
the 9
them 1
then 2
they 5
to 4
uncle 1
van 2
vending 1
visiting 1
when 1
with 1
within 2
years 1
yobgorgle 2
york 1
