2530403
/m/07l8h0
/m/07l8h0
Nicholas Sparks
1998-04-01
a 6
about 1
all 1
and 5
beach 1
begins 1
bottle 1
by 3
catherine 1
challenged 1
change 1
conference 1
disillusioned 1
divorced 1
doesnt 1
embraces 1
emotions 1
encounter 1
everlasting 1
finding 1
finds 1
for 3
fully 1
garrett 1
happens 1
having 1
he 1
held 1
her 2
his 1
hopes 1
in 2
inside 1
inspired 1
is 4
jogging 1
letter 1
life 1
longing 1
love 2
man 1
miraculousan 1
mystery 1
nicholas 1
of 1
on 1
osborne 1
our 1
parents 1
perhaps 1
pulled 1
relationships 1
romantic 1
said 1
school 1
search 1
she 2
signed 1
simply 1
someone 1
sparks 1
special 1
story 1
strong 1
that 4
the 2
theresa 2
this 2
timeless 1
to 2
true 1
understand 1
unexpected 1
was 1
what 1
when 1
will 1
