152925
/m/013yny
/m/013yny
Walter Scott
1814
45 1
a 4
accused 1
active 1
and 10
army 1
arrested 1
at 1
baron 4
battle 1
be 2
beautiful 1
been 1
bonnie 1
bradwardine 2
brought 1
by 2
castle 2
charlie 1
chieftain 1
clan 1
close 1
colonel 1
commission 1
daughter 2
desertion 1
doune 1
dundee 1
edward 3
encouraged 1
english 1
eponymous 1
escapes 1
escort 1
everard 1
family 2
father 1
fergus 1
flora 2
for 2
friend 2
from 1
given 1
goes 2
government 1
hanoverian 2
has 2
he 3
highlanders 2
him 2
himself 1
his 6
holyrood 1
home 1
in 4
intrigued 1
is 4
jacobite 3
jacobites 2
lair 1
leave 2
life 1
london 1
lovely 1
macivor 2
maintains 1
marries 1
meeting 1
meets 2
mountain 1
nearby 1
of 6
on 1
out 2
over 1
overstayed 1
palace 1
part 1
posted 1
preparing 1
prestonpans 1
prince 1
promptly 1
protagonist 1
rescue 1
retribution 1
rising 1
rose 2
saves 1
sir 1
sister 1
stronghold 1
sympathies 1
take 1
takes 2
the 16
then 3
thus 1
to 8
tory 1
treason 1
turn 1
turns 1
uncle 3
up 1
visit 2
waverley 6
when 1
where 2
whig 1
while 1
who 3
wild 1
works 1
