3378086
/m/098ghq
/m/098ghq
Elizabeth George
1990-10-25
{"/m/0lsxr": "Crime Fiction", "/m/02n4kr": "Mystery", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
13 1
18 1
6th 2
a 12
about 1
acton 1
after 1
also 1
an 2
and 7
another 2
anyone 1
apert 1
are 1
aristocratic 1
arrested 1
as 2
ashertonmdashshown 1
asks 1
at 3
attempt 1
back 1
barbara 2
be 1
because 1
before 1
being 1
belonged 1
biological 1
board 1
boarding 1
body 2
bond 1
bonnamy 4
boy 1
bredgar 4
brian 3
brought 1
bullying 1
burn 1
but 1
byrne 3
carbon 1
cause 1
cecilia 4
chambers 3
chas 5
chemistry 2
chess 1
child 3
chinese 1
churchyard 1
class 1
clive 4
clyde 1
colleague 1
collecting 1
colonel 2
corntel 4
culprit 1
cupboard 1
daughter 1
days 1
dead 2
death 2
deborah 1
demented 1
descent 1
didnt 2
dine 1
disappeared 1
driving 1
during 1
duty 1
edward 1
elite 1
emilia 1
eton 1
evening 1
explains 1
fact 1
father 2
feld 1
felt 2
financially 1
find 3
finds 2
for 5
form 1
former 2
found 2
from 4
fume 1
giles 2
girl 1
grader 1
had 1
halfbrother 1
hall 1
hangs 1
harry 1
has 3
havers 3
he 7
helen 1
help 1
her 2
herself 1
him 1
himself 2
his 9
hsu 1
in 11
initially 1
investigation 2
investigators 1
is 2
james 1
jeannie 4
john 2
kill 2
killed 2
lab 1
lady 1
late 1
letter 1
lifetime 1
lord 1
love 2
loyalty 1
lynley 4
made 1
master 1
matthew 10
member 1
minibus 2
monoxide 1
morant 1
mother 1
motive 1
mrs 1
nabbed 1
naked 1
obtained 1
of 7
old 2
out 4
pamela 1
parents 1
patrol 1
photos 2
play 1
poges 3
poisoning 1
pornography 1
pregnant 1
pritchard 2
pupil 1
quilter 4
rake 1
reason 1
recording 1
referred 1
refuses 1
relationship 2
responsible 2
returning 1
same 2
saw 1
scandal 1
scholarship 1
school 6
schoolboy 2
schoolmate 1
she 2
sometimes 1
son 1
spite 1
st 1
start 1
stoke 3
student 1
subplot 1
sussex 1
syndrome 1
tape 1
teacher 2
that 5
the 16
their 1
them 1
theme 1
then 1
there 1
they 2
this 2
those 1
three 1
through 1
to 15
torture 1
transferred 1
transported 1
tried 2
turns 1
unaware 1
unrequited 1
until 1
visit 1
visited 1
visits 1
want 1
was 8
were 1
west 1
whateley 2
when 4
which 1
who 1
why 1
wife 1
win 1
with 5
working 2
year 2
