3388262
/m/098_fd
/m/098_fd
Joy Kogawa
1981
172 1
36 1
a 6
after 1
aftereffects 1
against 1
aid 2
alberta 1
although 1
an 1
and 14
another 1
as 4
atomic 1
aunt 4
aya 1
becomes 1
been 1
before 1
begins 1
being 1
bomb 1
bombing 1
both 1
box 2
brief 1
by 3
canada 1
canadian 2
care 1
cecil 1
centres 1
changes 1
characters 1
child 3
citizens 1
come 1
confusion 1
context 1
core 1
correspondence 1
death 1
detailing 1
documents 1
dropped 1
during 2
emily 2
events 1
experience 1
experienced 1
experiences 2
eyes 1
fiction 1
fictional 1
finding 1
for 3
form 1
government 1
had 2
harbor 1
heartbreak 1
her 7
hiroshima 1
history 1
ii 1
in 7
injured 1
interweaves 1
is 1
japan 1
japanese 2
japanesecanadians 1
journals 1
kogawa 1
leads 1
learns 1
legal 1
lived 1
living 1
measures 1
memories 1
memory 2
mirror 1
mixing 1
mother 1
nagasaki 1
nakane 1
naomi 7
narration 1
notion 1
novel 2
obasan 5
occasion 1
of 16
old 1
on 2
one 1
overall 1
pacific 1
painful 1
parliamentary 1
past 2
pearl 1
perspective 1
plot 1
present 2
racism 1
reality 1
recollection 1
reconstruct 1
refers 1
rekindles 1
revisit 1
rural 1
schoolteacher 1
second 1
sent 1
set 1
severely 1
she 3
stay 1
stories 1
story 1
struggle 1
suffering 1
taken 1
tells 1
terms 1
that 1
the 24
their 1
this 1
through 1
throughout 1
thus 1
to 6
town 1
turn 1
two 1
uncle 1
visit 1
war 3
was 1
when 1
which 1
who 1
whom 2
widowed 1
with 5
word 1
world 2
year 1
years 1
