3401577
/m/099mmg
/m/099mmg
Walter Karig

{"/m/014dfn": "Speculative fiction"}
a 5
adventures 1
after 1
age 1
all 2
amulet 3
ancient 1
and 5
another 1
as 1
at 1
atomic 1
begin 1
begins 1
bombings 1
but 1
castle 1
cause 1
causes 1
columbia 1
consequences 1
creature 1
defense 1
department 1
discovery 1
eastern 1
ends 1
even 1
film 1
finds 1
for 1
get 1
gets 1
great 1
he 2
hiroshima 1
his 1
immediately 1
in 1
interested 1
is 2
it 1
jonathan 1
jones 4
kill 1
languages 1
living 1
logo 2
madman 1
magic 1
metaphor 1
movement 1
movie 1
nagasaki 1
novel 1
nuclear 1
obtains 1
of 6
on 1
or 1
pain 2
pictures 1
play 1
points 1
poston 1
powers 1
professor 1
realizes 1
rid 1
saying 1
slow 1
soviet 1
suffers 1
taken 1
talking 1
that 2
the 13
then 1
this 1
to 3
tom 1
tries 1
two 1
union 1
via 1
warn 1
was 1
weapons 1
when 1
william 1
with 2
words 1
written 1
years 1
zotz 1
