3408983
/m/099_19
/m/099_19
Delmore Schwartz


10 1
a 3
an 3
and 4
animadversion 1
appears 1
are 1
as 2
at 2
audience 1
begin 1
birthday 1
bit 1
blackandwhite 1
break 1
breaks 1
but 1
by 1
camera 1
character 3
courtship 2
crazy 1
documenting 1
down 2
dragged 1
dream 2
end 2
engrossed 1
film 2
from 1
get 1
going 1
has 1
he 8
him 1
his 5
important 1
in 5
influence 1
insecurity 1
is 9
it 4
man 2
morning 1
motion 1
movie 1
nonetheless 1
notes 1
of 6
oldfashioned 1
other 1
out 1
outcome 1
parents 3
people 1
picture 1
poor 1
quality 1
realize 1
reprimands 1
reveals 1
screen 1
several 1
shaky 1
shouts 1
silent 1
sits 1
snowy 1
soon 1
starts 2
story 2
tells 1
that 3
the 18
theater 2
they 1
things 1
think 1
times 1
to 7
trying 1
twentyfirst 1
unnamed 1
up 2
upset 1
usher 1
very 1
wakes 1
watch 1
when 1
who 2
yells 1
young 2
