3516617
/m/09hw30
/m/09hw30
Pierre Christin
1985

186 4
20th 1
28th 1
a 20
abandon 1
abilities 3
able 1
about 3
above 1
accompanied 1
activates 1
advanced 1
adventures 1
after 1
again 2
agents 1
ahead 1
albert 7
alien 1
all 1
allow 1
allowed 1
also 1
always 1
amid 1
an 3
and 36
androids 1
apparently 1
appears 1
arctic 3
are 14
arrange 1
arrangement 1
arriving 2
as 5
asks 1
assailed 1
astroship 7
at 7
attempting 1
back 4
baffin 1
ball 1
bay 1
be 5
because 1
been 5
before 2
begin 1
begins 1
behind 1
believes 1
belong 1
beside 1
boarding 2
breakfast 1
bright 1
bring 1
bringing 1
brings 1
but 1
by 15
calls 1
can 4
capability 1
careers 1
cargo 2
carried 1
castle 1
cataclysm 1
catastrophe 3
cause 2
century 2
charges 1
checking 1
chief 7
circle 1
come 2
commander 1
communicator 1
complaints 1
consider 2
contact 2
contacts 2
contemplates 1
continue 2
counting 1
cove 2
crashed 1
crashes 1
creation 1
crew 3
crewed 1
croquet 1
crosswinds 7
dawns 1
days 1
deal 1
defence 2
defences 1
detective 1
development 1
devices 3
different 1
direct 1
disappearing 2
distracted 1
disturbed 2
documents 1
does 3
doing 1
done 1
doubt 1
down 2
dressed 1
due 1
earth 5
emerge 1
energy 1
engulfed 1
enough 1
even 1
events 2
eventually 1
examining 1
explains 1
exploring 1
extent 1
fact 1
family 1
fed 1
film 1
final 1
find 2
first 1
flood 1
foot 1
for 8
form 2
forward 1
found 1
foundation 1
france 1
frequently 1
from 6
galaxity 10
game 1
gathering 1
getting 1
ghosts 1
given 2
glows 1
go 1
god 4
gone 1
greatest 1
greeted 1
group 1
gruff 1
had 1
has 11
hat 1
have 10
he 8
head 2
her 2
herself 1
him 5
hippy 1
his 12
history 1
hitting 1
hms 1
hold 1
holy 2
hoping 1
horror 1
hover 1
how 1
however 1
huge 1
hull 1
human 1
hvexdet 13
hvexdets 1
hypsis 11
iceberg 1
icebergs 1
icecaps 1
idle 1
if 2
images 1
immense 1
impacted 1
imperialist 1
in 19
include 1
indecision 1
information 1
intercede 1
intercepted 1
interrupts 1
intervening 1
intervention 1
into 6
inverloch 4
involved 1
is 12
it 10
its 2
itself 2
joining 1
jump 5
jumps 2
just 3
keep 1
kenchmoor 1
knowing 1
known 1
lady 1
land 1
last 2
later 3
launches 1
laureline 9
led 1
lifeboat 1
lifeboats 1
list 1
live 1
loaded 1
location 2
looking 1
lord 6
lords 1
lost 2
lying 1
machine 1
make 7
making 1
man 2
maneuver 1
manner 1
maritime 1
mathematical 1
may 3
means 1
meet 1
meeting 2
melted 1
merryweather 3
merrywhistle 2
mesmerized 1
met 1
more 3
morning 1
most 1
move 1
mysterious 1
narrowed 1
near 2
nearby 1
neglected 1
negotiation 1
next 1
nightmares 1
noir 1
non 1
not 4
now 2
nuclear 3
objects 1
occurred 1
ocean 4
of 32
off 2
offers 1
on 8
once 1
one 2
only 2
orcas 2
orders 2
other 4
others 2
out 5
owned 2
part 1
party 1
passengers 2
payment 1
people 1
perichoresis 1
phase 1
pictures 1
place 1
plan 1
planets 1
plugged 1
point 2
points 1
ponders 1
possibilities 1
precipitate 1
predict 1
prestige 1
proceed 1
produces 1
prompts 1
proposes 1
provide 1
prow 1
pursued 1
pursuit 1
putting 1
quick 1
quiet 1
ralph 8
ram 1
random 1
reaching 1
rendezvous 1
report 1
reports 1
rescue 1
restore 1
return 1
returned 2
returns 2
reveals 2
revert 1
right 1
ruled 1
run 1
sabotage 1
sabotaged 1
saw 1
schooner 2
seal 6
seals 1
secret 1
see 1
seeing 1
seek 1
seem 1
seemingly 1
send 1
sent 1
sentries 1
series 1
several 1
shingouz 3
ship 9
ships 3
silver 1
since 1
sink 1
sinking 1
sleep 1
slot 1
small 1
so 1
some 4
son 2
space 1
spacetime 2
spare 1
spatiotemporal 2
speak 1
spending 1
spirit 1
spot 1
stating 1
stay 1
stopped 1
strange 1
strike 1
strikes 1
succession 1
suddenly 2
summoned 1
surprised 1
systems 1
take 2
talking 1
taxes 1
tell 2
tendencies 1
thanks 1
that 27
the 116
their 9
them 5
these 1
they 23
thing 1
this 4
those 1
though 1
three 1
through 1
time 3
to 51
together 1
told 1
top 1
tortured 1
tower 7
towers 2
track 2
trenchcoat 1
tribute 2
trilby 1
trinity 3
two 3
unexpected 1
up 2
upon 1
upset 1
use 2
used 1
using 2
valrian 13
vessel 1
vessels 1
visions 1
voyage 1
wealth 1
weather 1
were 1
whaler 2
what 1
where 2
whether 1
which 2
while 1
who 4
will 4
wipe 1
wiped 1
wishes 1
with 13
work 1
worlds 1
worldwide 1
wracked 1
wreckage 1
yields 1
