3525925
/m/09jggl
/m/09jggl
Fyodor Dostoyevsky

a 13
able 1
about 1
aching 1
across 1
acutely 1
admitted 1
after 1
afterward 1
again 2
allowed 1
almost 2
always 2
an 2
and 23
apartment 4
appears 1
as 3
astafy 20
at 1
avail 1
aware 1
back 2
be 2
because 1
before 1
bought 1
breeches 7
but 5
by 3
claimed 1
clear 1
clothes 1
coat 2
come 1
contempt 1
continue 1
could 2
customer 1
day 3
days 4
decided 1
denied 2
deteriorated 1
did 2
disappear 1
dismayed 1
disruptive 1
distinct 1
drink 2
drinking 4
drunk 4
effectively 1
emelyan 21
even 2
eventually 3
everywhere 1
expecting 1
fight 1
followed 1
food 2
for 8
found 1
from 2
frozen 2
gave 1
get 1
go 2
goes 1
habit 1
had 6
happened 1
have 1
he 11
health 1
him 6
himself 2
his 8
honest 1
however 1
ilyitch 1
imposition 1
in 3
into 1
is 1
it 1
ivanovich 2
kept 1
last 1
later 1
left 1
lodger 1
lodging 1
look 2
looking 1
luck 1
money 4
more 1
moved 3
moving 1
much 1
named 1
narrator 4
never 3
new 1
night 2
no 2
not 5
now 1
nowhere 1
numbered 1
obviously 1
of 5
old 1
on 5
once 1
one 6
only 1
opens 1
out 1
over 4
pair 1
pathetic 1
poor 1
position 1
problem 1
projects 1
pub 1
pursue 1
quiet 1
quit 1
return 2
returned 1
riding 1
run 1
scenario 1
see 2
sell 2
share 1
short 1
soldier 1
some 1
something 1
sometimes 1
soon 1
starved 1
stealing 1
steals 1
still 1
stop 1
story 2
such 1
support 2
suspicious 1
tailor 1
taking 1
tattered 1
tell 1
tells 1
terrible 2
terribly 2
that 4
the 20
theft 4
then 1
they 2
thief 2
thieves 1
though 1
thought 1
to 13
took 1
tries 1
two 1
unsuccessfully 1
up 1
upon 1
urged 1
useful 1
usual 1
very 2
vexed 1
wanted 1
was 11
wealthy 1
went 1
were 3
when 2
while 1
with 5
words 1
working 1
would 5
yemelyan 1
