3752042
/m/09z2w0
/m/09z2w0
Ruth Rendell
1986-02-27
{"/m/0lsxr": "Crime Fiction", "/m/02n4kr": "Mystery"}
a 3
actions 1
after 1
afterwards 1
all 1
an 1
and 5
at 1
attack 1
attempted 1
back 1
been 1
but 1
by 2
claims 1
criminal 1
crippling 1
discovers 1
easy 1
even 1
find 1
for 2
from 1
handicap 1
has 1
have 1
he 3
himself 1
his 4
incarceration 1
into 1
is 3
it 1
jenner 2
later 1
life 1
may 1
new 1
novel 1
of 2
officer 1
old 1
one 1
other 1
police 1
prison 2
produced 1
protagonist 1
provoked 1
rape 1
reasons 1
record 1
reduced 1
released 1
resources 1
sent 1
shooting 1
significant 1
slip 1
somehow 1
ten 2
that 2
the 4
there 1
to 3
too 1
trial 1
unaware 1
unintentional 1
victim 1
victor 1
was 1
were 1
which 1
with 1
years 2
