175547
/m/017rhx
/m/017rhx
Tom Clancy
1986-08
2500 1
a 28
aachen 1
able 1
according 1
achieve 1
across 1
act 1
addition 1
advance 2
advances 1
advantage 1
aftermath 1
afterwards 1
against 6
agreement 1
agriculture 1
air 4
aircraft 3
alekseyev 5
alfeld 1
all 1
alliance 1
allow 1
allowed 1
allowing 1
almost 1
america 1
american 2
amphibious 2
an 10
and 30
another 1
any 1
apparently 1
approaching 1
arab 1
are 6
areas 1
army 3
arranges 1
as 8
assault 2
assets 2
asw 1
at 5
atlantic 5
attack 12
attacked 1
attacking 1
attacks 2
attrition 1
audacious 1
awacs 1
azerbaijan 1
back 2
backed 1
backfire 1
backfires 1
badger 1
ballistic 1
bases 1
battle 2
be 2
becomes 2
becoming 1
behind 2
being 1
blaming 1
blast 1
bleak 1
bomb 1
bomber 4
bombers 2
bombing 2
both 1
breaking 1
breakthrough 1
breath 1
bridges 1
brilliantly 1
bring 1
bromkovskiy 1
but 1
by 7
c 1
can 1
capture 1
captured 1
capturing 1
carrier 4
carriers 2
carry 1
carter 1
catches 1
category 1
cease 1
certainly 1
chairman 2
children 1
cincsouthwest 1
cincwest 1
claim 1
closing 1
combined 1
coming 1
commands 1
committed 1
competent 1
concessions 1
conflict 2
consider 1
consisting 1
contemplating 1
contrary 1
control 2
conventional 1
convoy 1
convoys 2
cost 1
costal 1
counteroffensive 1
coup 1
covert 1
crippled 1
cripples 1
crippling 1
crisis 1
cross 1
cruise 2
crusaders 1
cutting 1
damage 1
death 1
decides 1
decisively 1
decoys 2
defeated 1
defend 1
defensive 1
deploy 1
depots 1
destroy 3
detected 1
different 1
dire 1
direct 1
direction 1
disagreement 1
disrupting 1
doctrine 1
does 1
dramatically 1
drawdown 1
driven 1
drydock 1
dtat 1
due 1
east 1
economy 2
eduardovich 1
effective 1
either 1
elderly 1
eliminate 1
elite 1
encroaching 1
end 1
ending 1
energy 1
engage 1
england 1
ensure 1
epicentre 1
escorting 1
essence 1
essentially 2
europe 2
exchange 2
executed 1
exile 1
expect 1
expectations 1
explodes 1
f 1
f14 1
face 3
facility 1
failed 1
false 1
far 1
favorite 1
fields 1
fighterbombers 1
fighters 1
final 1
finally 2
fire 1
firepower 1
firing 1
first 1
firstgeneration 1
flag 1
flanking 1
fleet 3
fleets 1
flies 1
flow 1
foch 3
for 3
force 2
forced 1
forces 9
forestalling 1
formations 1
forward 2
framing 1
free 1
french 1
from 7
front 2
frontline 1
fuel 2
full 1
gained 1
gamble 1
general 2
generalcolonel 1
german 2
germanrussian 1
germany 7
giuksosus 1
gives 1
giving 1
government 1
governments 1
great 1
greece 1
ground 2
group 2
groups 1
gulf 2
had 1
halted 1
has 1
having 1
heavy 1
her 1
here 1
his 2
hope 1
iceland 4
if 1
ii 1
immediate 1
immobilising 1
in 25
increasingly 2
ineffective 1
inflicting 1
initiative 1
instead 1
insufficient 1
intelligence 1
interceptors 1
interdicting 1
interests 1
into 1
invade 1
involvement 1
is 9
islamic 1
island 1
it 3
its 6
japan 1
joins 1
keflavk 1
kelt 1
key 1
kgb 4
killed 1
killing 1
kills 1
kingfish 1
kremlin 2
krylov 1
last 2
latter 1
launch 1
launching 2
lead 1
leaving 1
led 1
left 1
leonidovich 1
likely 1
limited 1
line 1
lines 2
longtime 1
looks 1
lose 2
m 1
main 1
mainstay 1
major 3
makes 1
manage 1
manoeuvre 2
many 1
marines 2
matters 1
means 1
mediterranean 1
meet 1
member 1
mikhail 1
military 2
minefields 1
minister 2
missile 2
missiles 4
mobilize 1
more 1
most 1
move 1
moved 2
much 1
nation 1
national 1
nato 20
naval 3
navies 1
navy 3
nearly 1
necessitating 1
needs 2
negotiates 1
never 1
night 1
nightmare 1
nimitz 1
nizhnevartovsk 1
no 1
nonetheless 1
north 1
northern 1
not 2
notably 1
nuclear 4
number 1
obtains 1
occupied 1
ocean 1
of 29
off 1
offensive 3
officer 1
oil 5
oilproduction 1
omg 1
on 14
one 1
opening 1
operate 1
operation 4
operational 1
opportunity 1
opposition 1
or 1
ostensibly 1
out 4
over 2
pacific 1
parent 1
part 1
pavel 1
persian 1
personally 1
places 1
plan 1
planes 1
planned 1
planning 1
player 1
point 1
poker 1
politburo 5
political 1
practical 1
predicted 1
prepares 1
preserve 1
prevent 1
prewar 2
prisoner 1
production 1
promptly 1
protect 1
publicly 1
pushes 1
put 1
pyotr 1
raid 1
rather 1
reaction 1
reality 1
realizing 1
rear 2
reduce 1
regain 1
region 1
remaining 1
renowned 1
replacing 1
rescue 1
reserves 2
respected 1
response 2
resulting 1
resupply 1
retaking 1
revealed 1
reveals 1
reversal 1
river 1
rivers 1
russia 1
saceur 2
saipan 1
saratoga 1
scenario 1
schoolchildren 1
scores 1
secondincommand 1
seeks 1
seize 2
sergetov 2
set 1
several 2
sharply 1
shipping 1
ships 1
significant 2
simultaneously 2
situation 3
slow 1
slowly 1
some 2
sources 1
southampton 1
soviet 22
soviets 9
spearhead 1
spend 1
spetsnaz 1
stage 1
staging 1
start 1
states 2
station 1
stealth 1
steps 1
story 1
strategic 6
strike 1
submarine 1
submarinelaunched 1
submarines 2
success 2
successful 1
successfully 1
sudden 1
sunk 1
superiority 2
supplies 1
surfacetoair 1
surprise 1
survive 1
sustained 1
switch 1
tactical 5
tactics 1
take 2
takes 1
taking 1
targeting 1
terrorists 1
than 1
that 8
the 112
theater 1
theatre 1
their 5
them 2
they 2
this 4
those 1
threat 1
threatening 1
through 1
thus 1
time 1
timed 1
to 45
town 1
transmit 1
troika 1
turning 1
two 2
under 1
underestimated 1
undetected 1
unexpected 1
united 1
