4036742
/m/0bdsk9
/m/0bdsk9
Bernard Cornwell
1983
a 58
able 1
about 3
action 2
actually 1
advance 1
afraid 1
after 4
again 2
against 7
agents 1
ago 1
agrees 1
aid 2
alba 2
alerted 1
alive 2
all 5
allows 2
already 4
also 1
although 2
ambush 1
amongst 1
an 3
and 93
another 1
appear 1
are 6
aristocracy 1
army 6
arrived 1
arrives 1
as 17
ascertain 1
asking 1
asks 1
assaulted 1
assigned 1
assumed 1
assumes 2
at 10
attack 2
attacks 1
attempts 3
attend 1
available 1
away 2
back 7
badajoz 1
balanced 1
barely 1
basement 1
battalion 1
battalions 2
battle 6
be 11
bear 1
because 2
become 1
been 13
before 2
begins 1
begs 2
behind 1
being 3
believed 1
believes 1
believing 3
between 1
black 1
blocked 1
book 3
border 2
both 3
breaking 1
breaks 1
bridge 2
bring 1
britain 1
british 8
broken 1
brother 2
buried 2
but 19
by 23
called 1
cannot 1
cant 2
captain 4
captured 1
carries 1
casares 1
case 1
cases 1
casualties 1
catch 1
causes 1
causing 1
cavalry 6
celebrate 1
centre 1
chains 1
chance 1
chances 1
channel 1
channelled 1
charge 4
charging 1
chased 1
city 2
claims 1
clausel 2
cling 1
cloak 1
clockwork 1
closely 1
coded 2
college 3
colonel 3
column 2
columns 1
come 1
comes 4
command 3
company 10
complement 1
conclusion 1
conducts 1
confesses 1
confident 1
confirm 1
confirmed 1
confirms 4
confronts 1
connolley 1
consciousness 2
contact 1
controlled 1
conventional 1
corner 1
corpses 1
correspondents 1
counterattack 1
covets 1
crafted 1
create 1
cross 1
crushed 1
curtis 10
dank 1
days 1
de 3
dead 2
death 3
debriefs 1
decides 1
defeat 2
defeated 2
defends 1
delay 1
delmas 4
depart 1
deputy 1
destroy 1
destroyed 2
detail 1
details 1
did 1
die 3
died 1
digging 1
disarmed 1
discarded 1
discovered 1
discovering 1
discovers 2
disemboweled 1
disguise 1
disguised 1
dislike 1
dismounted 1
dismounts 1
division 4
divisions 1
do 1
does 1
doesnt 2
doing 1
down 1
dowry 1
drifts 1
drops 1
due 1
duel 2
dueling 1
dying 1
effectively 1
effort 2
el 6
encounter 1
encounters 1
ends 1
engages 1
ensign 1
ensues 2
ensure 1
entire 1
escape 3
escaped 1
escapes 2
escaping 1
escort 1
escorted 1
essex 4
established 1
evade 1
evening 2
events 1
eventually 1
exceptional 1
exchange 1
expectations 1
explains 1
fact 1
falls 1
false 1
fatal 1
father 3
fever 1
fight 2
fighting 1
fights 1
finally 1
find 2
finds 3
finely 1
finished 1
fire 1
firm 2
fled 1
fleeing 2
flees 1
flogging 1
flows 1
follow 1
following 2
follows 1
foot 1
for 11
forces 1
forms 1
forrest 1
forts 5
found 3
fourth 1
french 32
from 13
frustrated 1
full 2
fully 1
further 1
gain 1
gains 2
gambling 1
garden 1
garrison 2
gave 1
general 2
german 1
gift 1
girl 1
give 4
given 1
gives 1
go 1
goes 1
going 1
grande 1
grave 1
graves 1
ground 2
gun 1
gunshot 1
habit 1
had 16
hand 1
handling 1
hands 1
hard 1
harper 19
has 18
have 5
he 60
head 1
headquarters 3
healed 1
hearing 1
hears 1
heat 1
heavy 2
held 3
help 2
her 7
hidden 1
him 26
himself 3
his 43
hits 1
hlne 5
hogan 16
honour 1
honourably 1
hoping 3
horse 5
horseback 2
hospital 7
houses 1
however 2
hunch 1
identity 4
if 4
important 1
in 40
including 2
indeed 1
infantry 3
infection 1
information 1
initially 1
injured 1
instant 1
instead 2
intact 1
intending 1
interest 1
intestines 1
into 6
introduced 1
invited 1
irish 2
is 48
isabella 2
it 8
jack 1
jacket 2
joining 1
joseph 1
just 1
kill 4
killed 4
killing 3
kills 4
king 1
klingenthal 5
knew 2
knocking 1
knowledge 1
knows 1
la 8
later 4
learned 1
leave 3
leaves 1
leaving 2
left 2
leg 1
legion 1
leisure 1
leroux 40
let 1
letter 1
lieutenant 2
light 7
like 2
likely 1
lines 1
lion 1
list 1
living 1
locate 1
looks 1
lord 6
loses 1
lost 1
lovers 1
lying 1
macdonald 1
mad 1
made 1
major 4
makes 1
man 1
manages 1
manoeuvring 1
many 2
marmont 5
marquesa 8
marshal 1
mass 1
meantime 1
meeting 1
melida 1
member 1
men 2
message 3
met 1
michael 1
minister 1
mirador 5
miss 1
missing 2
mistaken 2
money 1
month 1
morning 2
most 3
mourned 1
moved 1
moves 1
multilingual 1
musket 1
must 2
need 1
needs 2
network 1
nevertheless 2
next 1
night 2
no 1
nor 1
not 15
novel 1
now 1
obtaining 1
obtains 1
of 33
off 2
officers 1
on 9
once 1
one 7
only 1
onto 1
opens 1
or 1
order 1
orders 1
out 5
outrun 1
outside 1
overalls 1
own 3
pack 1
paris 2
parole 2
paroled 1
part 2
party 2
pass 1
paul 1
payments 1
peasant 1
pecuniary 1
penny 1
permission 1
person 1
persuades 2
philippe 1
piece 1
pistol 1
place 1
places 1
planned 1
play 1
playing 1
pointing 1
populace 1
population 1
portuguese 1
position 1
preferring 1
prefers 1
preparation 1
preparations 1
prepared 1
prepares 2
present 2
preserve 1
price 1
private 2
probably 1
procuring 1
progress 1
promised 1
promises 1
protect 2
protecting 2
protection 3
protects 1
provide 3
provoke 1
provosts 2
public 1
pursue 1
pursues 1
pursuing 1
pursuit 1
pushed 2
questioned 1
quickly 1
quite 1
quizzes 1
race 1
racing 1
readily 1
reads 1
realise 2
realised 1
realises 4
realising 1
rear 1
rearguard 1
recaptured 1
recently 2
recognises 1
recovered 1
recovers 1
recovery 1
recuperates 1
refuses 3
rejoins 1
relays 1
relents 1
remainder 1
remaking 1
reports 1
repulsed 1
reputation 4
requirements 1
rescued 1
reserves 1
resist 1
respond 1
retreat 2
retreating 1
return 1
returned 1
returning 2
returns 1
revenge 1
rides 1
riding 1
rifle 6
rifled 1
rifleman 1
right 1
river 2
room 1
run 1
running 2
ruse 1
sabre 7
sabres 1
sadaba 1
salamanca 10
salamancan 1
sanctuary 1
sanity 1
scandal 1
scars 1
search 3
searched 2
searching 2
see 1
seeing 2
seeking 1
seen 2
sends 2
sense 1
sentry 2
sergeant 1
servants 1
set 2
sets 2
several 2
severe 1
sharpe 72
she 7
shoot 2
shoots 4
shot 5
sister 5
sixth 3
slow 1
so 3
sold 1
soldier 6
solo 1
some 1
something 1
soon 1
south 4
spain 1
spanish 3
spears 16
spies 1
spirit 1
spy 4
square 2
squares 2
stabbing 1
staircase 1
stay 3
steps 1
still 4
stolen 2
stomach 2
stonemasons 1
storm 1
story 1
streets 1
struggle 1
subsequently 1
succeed 1
success 1
successfully 1
suggests 1
suited 1
superbly 1
surgeons 1
surprise 1
surprised 1
surprises 1
surrender 2
suspecting 1
suspects 1
suspicions 1
swiftly 1
swings 1
sword 8
symbols 1
sympathetic 1
syphilis 1
take 1
taken 3
takes 1
taking 2
talk 1
task 1
tell 1
telling 2
tells 5
that 51
the 132
their 2
them 3
then 5
there 1
these 1
they 8
thinks 1
this 7
thoroughly 1
though 1
threatening 1
threatens 1
three 2
through 1
thrown 1
throws 1
thus 1
time 2
times 1
tipped 1
to 96
told 1
tormes 2
tortured 1
totally 1
toward 1
towards 1
traitor 3
transformed 1
trapped 1
trousers 3
turned 1
turns 1
two 2
uncomfortable 1
unconscious 1
undefeated 1
under 3
understands 1
undeterred 1
unfold 1
unknown 1
unopposed 1
unrecognised 1
unsuccessful 1
until 1
unwillingness 1
up 4
use 2
using 1
usual 1
visited 2
volley 1
vulnerable 1
wades 1
waiting 1
wants 3
ward 3
was 9
watched 1
watches 1
wearing 1
wellington 11
were 2
what 1
when 8
where 1
which 5
while 3
whilst 6
who 8
whom 2
will 4
windham 3
with 18
withdraw 1
without 2
would 3
wound 2
wounded 1
wounding 1
y 1
yet 1
