4250982
/m/0bsd3y
/m/0bsd3y
Chris Riddell
2002-09-01
a 21
about 2
accident 1
across 1
affliction 1
after 1
against 1
allowing 1
along 4
also 1
always 1
ambush 1
an 4
and 15
apparently 1
are 3
arrive 1
arriving 2
arrow 1
as 3
at 2
attack 1
away 1
banderbear 4
banderbears 3
barkwater 1
be 1
become 1
becomes 1
becoming 1
been 3
befriends 1
beneath 1
best 1
breaks 1
bridge 1
built 1
buoyant 1
burlix 1
busy 1
by 2
candidatebut 1
cannot 1
catches 1
caterbird 1
channeling 1
character 1
chest 1
chosen 1
chronicles 1
cliffhanger 1
come 1
confronts 1
convocation 2
cowlquape 4
create 1
crew 1
crossbowbolt 1
cruel 1
cure 1
cuts 1
deadbolt 1
decided 1
deepwoods 2
destroyed 1
discover 1
discovery 1
disguised 1
does 1
down 1
dreams 2
dropping 1
during 3
eastern 1
edge 2
embark 1
embarks 1
employing 1
end 1
escape 1
established 1
eventually 1
ever 1
everyone 1
expect 1
fact 1
felix 2
few 1
filatine 1
finally 1
find 1
flies 1
fly 2
flying 1
follows 1
for 3
forgotten 1
fortress 1
foundry 2
free 5
frees 1
friend 2
friendly 1
friends 1
from 2
gather 1
glade 2
glades 2
go 1
goal 1
good 1
great 2
guardian 1
guardians 4
had 6
has 4
have 1
he 4
hekkle 1
help 1
helps 1
her 2
him 4
his 9
however 1
impossible 1
imprisoned 1
in 8
information 2
into 2
introduced 1
is 11
it 1
itself 1
joined 1
journey 1
keep 1
kept 1
kill 1
knight 1
knightone 1
knights 3
knuckle 1
large 1
last 1
lead 1
learns 1
left 1
leg 1
librarian 3
librarians 2
life 1
likely 1
lives 1
lodd 3
lowly 1
lummus 1
magda 3
main 1
make 3
makes 1
making 1
male 1
man 1
marshy 1
may 2
meanwhile 1
minute 1
mire 2
more 1
mourn 1
much 1
name 1
named 1
network 1
night 3
not 3
now 1
of 18
old 2
on 4
oneperson 1
opposing 1
out 1
over 2
pentephraxis 1
pirate 1
place 1
poisoned 1
presence 1
purpose 2
quickly 1
raid 3
rejuvenating 1
reveals 1
riverrise 1
road 1
rocks 1
rook 19
roost 1
rope 2
safely 1
same 1
save 1
saved 2
second 1
secretly 2
seems 1
select 1
set 1
sewerchambers 1
ship 2
ships 1
shryke 1
shrykecity 1
shrykecontrolled 1
sister 1
sky 3
skycraft 4
skyraider 3
skysailing 1
slaughterer 1
slavers 1
slaves 1
slowly 1
small 1
snagged 1
sneaks 1
so 1
society 1
stands 1
stob 3
stonesickness 3
struck 1
stuck 1
studies 1
studying 1
succumbed 2
surprise 1
sworn 1
takes 1
that 5
the 52
their 4
then 1
there 2
they 3
this 2
three 1
time 2
to 26
together 1
towards 1
tower 2
traitor 1
travel 2
traverse 1
treatisevoyage 2
trilogy 1
truehis 1
twig 6
two 2
underlibrarian 1
undertown 1
up 1
upon 1
varis 1
vehicle 1
very 1
vulpoon 1
was 2
watch 1
waters 1
way 3
when 2
whether 1
which 5
while 2
who 6
will 1
with 5
wumeru 1
xanth 5
yet 1
young 2
