4359466
/m/0bz28r
/m/0bz28r
Alan Ayckbourn

a 6
adam 6
advantage 1
afraid 1
again 1
an 1
and 5
android 4
as 1
by 1
carla 1
chandler 2
classic 1
comedies 1
comedy 2
decides 1
directing 1
director 2
escape 1
fall 1
fault 1
favourite 1
for 2
former 1
he 1
her 1
his 2
humour 1
idealistic 1
in 1
is 4
it 1
jacie 4
jcf31333 2
jealous 1
kidnap 1
lapses 1
later 1
laughs 2
leadingrole 1
living 1
love 1
make 1
makes 2
meets 1
memory 1
mistakes 1
neverending 1
nicknames 1
of 4
old 1
on 2
opera 1
orders 1
panics 1
pepperbloom 1
persuades 1
production 1
project 1
regional 1
role 1
ruin 1
sees 1
sense 1
series 1
she 2
should 1
slapstick 1
soap 1
spots 1
supporting 1
sympathy 1
talented 1
tate 1
that 2
the 5
they 1
threatens 1
to 2
trainsmith 1
tv 1
watching 1
while 2
who 1
wiped 1
writer 1
young 1
