4393883
/m/0b_x9c
/m/0b_x9c
Nigel Robinson

10 2
108 1
22000 1
a 3
ace 3
actually 1
after 1
against 1
agent 1
aided 1
alien 1
allows 1
ally 1
alongside 1
also 1
an 3
and 12
antykhon 3
any 1
are 1
asleep 1
attempt 1
back 2
been 2
benny 3
bernice 1
blamed 2
but 3
by 3
called 1
causing 3
charrel 1
charrl 6
charrls 1
claiming 1
clearing 1
companions 1
control 1
crumbles 1
curing 1
details 1
devastated 1
different 1
dimensions 1
discovers 1
divide 5
doctor 2
dust 1
dying 1
earth 4
east 1
effect 1
egg 1
eggs 2
emerges 1
end 1
entire 1
entrap 1
escape 2
event 1
eventually 1
exile 1
expels 1
explodes 2
far 1
fighters 1
fighting 1
find 1
for 1
former 1
from 4
future 3
generator 1
give 1
great 5
grisly 1
guerrilla 1
half 2
has 1
have 2
he 2
heeled 1
her 2
hermit 1
him 3
his 2
humans 1
iceberg 1
immortality 1
implant 1
implanted 1
in 9
inadvertently 1
inhabit 1
insectlike 1
inside 1
interior 2
into 1
is 7
it 4
its 3
jack 2
jared 1
khan 2
kill 1
link 1
london 2
malfunctions 1
missing 1
muldwych 1
murders 2
mysterious 1
now 1
occurring 1
of 9
on 4
once 1
one 2
oppressors 1
order 1
other 2
over 1
past 2
placing 1
planet 3
race 1
rams 1
replace 1
returns 1
reunite 1
rising 1
room 1
scratched 1
see 1
sends 1
series 1
ship 1
siberia 1
since 1
spring 1
springheeled 1
stabilizes 1
stranded 1
sweeps 1
tardis 7
temperatures 1
that 2
the 35
their 2
them 1
themselves 1
then 2
there 1
they 2
this 2
time 4
timetravelling 1
to 14
transdimensional 1
trapped 1
travel 1
travels 1
tries 1
tunguska 1
two 1
under 1
unstable 2
use 2
uses 1
using 1
vector 1
when 1
where 2
while 1
with 3
years 1
zones 1
