4395771
/m/0b_zrg
/m/0b_zrg
Kenneth Oppel
1997-04-24
a 33
abandoned 1
about 4
accepts 2
accuse 1
actually 1
adopt 1
affect 1
afraid 1
after 2
again 3
ago 1
agree 1
agrees 2
ahead 1
airplane 1
albino 1
alive 3
allow 1
allowed 1
also 1
ambassador 1
amputate 1
an 6
and 93
animals 1
another 4
answer 1
any 1
apprehended 1
are 17
ariel 6
arms 1
array 1
arrived 1
as 6
ashes 1
asked 1
asks 2
asleep 1
at 5
attempts 2
attracted 1
aurora 1
away 1
back 3
band 2
banded 6
bands 3
banished 1
bat 7
bathsheba 4
batkind 1
bats 11
be 3
beasts 2
because 4
before 9
beginning 1
behind 1
being 3
believes 2
bigger 1
birds 2
bit 1
boat 1
born 1
both 4
breaks 1
brightwing 2
bring 2
brother 2
brutus 1
bullied 1
burn 1
but 9
by 18
cabin 1
called 1
calls 1
camp 1
can 3
cannot 1
captured 2
carnivorous 1
cassiel 3
catch 1
cathedral 6
caught 2
cave 1
challenges 1
chamber 1
chases 1
chews 1
chinook 4
city 6
claimed 1
closed 1
collapse 1
colony 8
come 2
comes 1
commonplace 1
complaints 1
conjure 1
considering 1
constantly 2
continue 1
corners 1
could 1
countless 1
creating 1
dangerous 2
darts 1
day 5
dead 1
death 1
debate 1
defends 1
demanding 1
desertion 1
despite 2
disastrous 1
disbelieve 1
discover 1
discovers 1
distrust 1
dive 1
do 1
doing 1
down 3
drizzle 1
drown 1
drowning 1
drugged 1
eagerly 1
eat 2
eaten 4
eating 3
echo 1
echos 1
edge 1
elders 1
electrocute 1
encounter 3
encountered 2
endless 1
enough 1
ensues 1
ensuing 1
escape 5
escort 1
escorts 1
even 1
eventually 1
ever 1
exchange 1
expected 1
explains 2
extensively 1
eyes 2
fact 1
fall 1
father 2
feel 1
fight 1
finally 1
find 3
finds 1
first 1
fishing 1
fly 2
follow 2
following 1
follows 1
for 14
forbidden 1
formulates 1
found 1
four 1
freak 1
frieda 10
from 5
full 1
gargoyles 1
general 1
get 1
given 1
go 1
god 1
goddess 1
goth 27
graywing 2
graywings 1
great 1
grow 1
guides 1
guiding 1
had 4
hand 1
has 3
hauled 1
have 2
haven 3
he 15
head 5
healed 1
heals 1
help 2
helps 1
her 2
hibernaculum 5
hidden 1
him 14
himself 1
his 13
history 1
hold 1
honest 1
hopes 1
however 2
human 6
humans 3
hunting 2
illusion 1
impact 1
imprisoned 1
in 15
including 1
initially 1
instructs 2
intentions 1
into 6
invites 1
ironically 1
is 26
island 1
it 6
its 1
join 1
joins 1
journey 4
journeying 1
juice 1
jungle 1
just 2
keeps 1
kill 3
killed 1
killing 1
kingdom 1
know 1
knowing 3
landmark 1
landmarks 2
lands 1
last 1
later 1
law 1
leader 1
leads 1
leaf 3
leave 1
leaves 2
led 2
let 1
light 1
like 3
local 1
locate 1
look 1
lost 1
luckily 1
lucretia 1
makeshift 1
males 1
map 1
marina 37
meant 1
meat 5
meet 3
meets 2
melee 1
metal 1
metallic 1
might 1
migrate 1
migrating 1
millions 1
mistakes 1
most 3
mother 1
mountains 1
murders 1
mutiny 1
mysterious 1
newborn 1
news 2
next 1
nocturna 1
ocean 1
of 29
off 1
offer 1
offers 1
on 5
once 1
one 3
ones 1
only 1
onto 1
orders 2
other 1
out 5
outside 3
outskirts 1
over 1
overhead 1
owl 6
owls 6
own 1
part 4
peace 1
picture 1
pigeon 1
pigeons 6
plan 2
popular 1
praying 1
predicts 1
prepares 1
pretends 1
prince 1
promise 2
promised 1
protection 1
protowings 1
provide 1
punishing 1
punishment 1
put 1
puts 1
questions 1
rats 3
reach 1
ready 1
reason 1
recognizes 1
recover 1
recruit 1
refuge 2
refuse 1
refused 1
refuses 4
relents 2
relieved 1
reluctantly 1
remus 6
rescued 1
rescues 1
resident 1
response 2
responsible 1
retreat 1
return 2
returns 2
reunites 1
reveals 1
rises 1
river 1
romulus 4
roost 2
runt 1
sacrifice 1
safety 1
sake 1
say 1
says 1
scares 1
scirocco 5
secret 1
secretively 1
secretly 1
see 2
seeing 1
seek 1
seer 1
sees 5
sentence 1
separates 1
set 1
sets 1
sewers 1
shade 69
shape 1
shaped 1
she 4
shoots 1
short 1
shows 2
sides 1
sighted 1
silverwing 4
silverwings 6
singing 1
sings 1
skies 2
slaves 1
sleep 3
sleeping 1
small 1
so 1
soldiers 2
someday 1
soon 5
sooner 1
sound 1
south 3
spectrum 1
spot 1
star 1
stay 1
steals 1
still 2
stole 1
stone 2
stops 1
storm 1
straight 1
strong 1
subsequently 1
such 1
sufficiently 1
sun 10
supposedly 1
survives 1
suspects 1
take 4
takes 1
teaches 1
teased 2
tells 2
tempt 1
tempted 1
than 1
that 23
the 103
their 7
them 16
then 4
there 3
they 16
this 5
thousands 1
threaten 1
three 1
throbb 23
thunder 1
thunderhead 1
time 2
tired 1
to 67
too 1
towards 1
town 2
treaty 1
tree 3
tried 1
tries 1
trophies 1
truth 1
tunnel 2
turned 2
turns 1
two 5
unbenownst 1
uncovering 1
unfortunately 1
unless 1
until 2
up 1
used 1
uses 2
using 2
valley 3
vampyrum 1
very 1
waiting 1
wakes 1
war 1
warn 1
was 4
waterfall 3
way 2
well 1
were 1
what 1
when 6
where 6
which 3
while 5
who 9
will 3
win 1
wings 1
winter 2
with 4
wolf 2
worried 1
worrying 1
would 1
wound 1
wounds 1
years 1
yet 2
young 1
zephyr 6
zotz 1
