4519034
/m/0c6t9v
/m/0c6t9v
Anna Kashina
2000-05-15
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
a 5
about 1
against 1
age 1
all 2
allpowerful 1
an 3
and 5
apathy 1
arabian 2
as 1
at 1
be 1
becomes 1
book 1
burden 1
capable 1
centuriesold 1
child 1
comingofage 1
companion 1
crush 1
dayagainst 1
destined 1
destiny 1
destinyand 1
devoted 1
dhagabad 3
dhagabadin 1
discovers 1
djinn 2
enjoy 1
exotic 1
fantasy 1
first 1
flavor 1
follows 1
from 2
gradually 1
greater 2
grows 2
hand 1
hasan 2
he 1
heiress 1
her 4
him 1
himself 1
his 2
imagined 1
immortality 1
in 1
into 1
is 4
magical 1
mistress 1
more 1
nights 1
novel 1
novels 1
oddshe 1
of 10
omniscience 1
one 1
or 1
pain 1
power 2
princess 4
proves 1
relationship 1
releases 1
sensuous 1
seventeen 1
she 3
slave 1
spending 1
steadfast 1
sufferinglove 1
taking 1
teacher 1
than 3
that 1
the 8
this 1
throne 1
time 1
to 3
tradition 1
trilogy 1
twelve 1
unbearable 1
under 1
until 1
vividly 1
which 1
who 2
whose 1
wisdom 1
with 3
woman 1
written 1
young 1
