4552182
/m/0c8hkn
/m/0c8hkn
Dugald Steer
2003-10-01
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
a 4
about 1
actually 1
also 1
anatomy 1
and 4
are 1
author 1
book 2
by 1
century 1
clarification 1
color 1
detailing 1
different 1
dr 2
dragon 3
dragoncalling 1
dragonologist 1
dragons 2
drake 2
enclosing 1
envelope 1
ernest 1
find 1
foldout 1
from 1
have 1
how 1
illustrations 1
in 4
included 1
including 1
information 1
ink 1
is 2
it 1
letter 1
locations 1
map 1
material 2
matters 1
mostly 1
needs 1
nineteenth 1
number 1
of 2
on 1
purporting 1
riddles 1
samples 1
scales 1
sealed 1
several 1
showing 1
skin 1
species 1
spells 1
subject 1
tactile 1
the 5
their 2
them 2
throughout 1
to 3
was 1
what 1
where 1
wings 1
with 1
work 1
world 1
written 3
