4572405
/m/0c9hrj
/m/0c9hrj
Emilio Salgari

{"/m/08sdrw": "Adventure novel"}
a 1
against 1
ally 1
and 4
are 1
at 1
back 1
banished 1
been 1
bitterest 1
brooke 2
but 1
by 1
captured 1
colony 1
continued 1
dashes 1
dreaded 1
enemies 1
enlist 1
exterminator 1
fact 1
fighting 1
first 1
foes 1
forces 1
free 1
from 1
good 2
great 1
has 1
have 1
he 1
his 1
hunter 2
imprisoned 1
in 3
india 1
injustices 1
innocent 1
is 2
james 2
kammamuri 1
knowing 1
lead 1
life 1
macota 1
manages 1
master 1
men 1
misfortunes 1
mompracem 2
must 1
of 6
off 1
old 1
one 1
opportunity 1
order 1
pangeran 1
penal 1
planning 1
protagonists 1
rajah 1
rescue 1
righting 1
sandokan 3
sarawak 1
sentenced 1
servant 1
services 1
succeed 1
the 11
their 2
tigers 2
to 5
tremalnaik 1
was 1
when 1
white 1
wrongfully 1
yanez 2
