4609837
/m/0ccg79
/m/0ccg79
Mark Gatiss

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 9
about 1
acknowledge 1
acting 1
actions 1
aerodrome 2
aims 1
airbase 1
alec 2
alien 1
all 4
allow 2
and 16
anglia 1
are 6
arriving 1
as 5
assisting 1
at 2
attacked 1
away 1
back 1
base 4
beam 2
been 1
begin 1
begun 2
behind 1
being 1
betrayal 1
bishop 1
blackshirted 1
bliss 5
bomb 1
borrowed 1
bowed 1
box 1
brigadier 4
brother 1
but 2
by 11
call 1
captors 1
captured 1
carrying 1
caught 1
charm 1
clearly 1
closed 1
closest 1
codes 1
collapses 1
commander 1
compression 1
concealed 1
controlled 1
crashing 1
creature 1
cross 1
crossing 1
crystal 4
culverton 4
curiously 1
damaged 1
dematerialisation 1
despite 1
destroyed 4
destruction 1
die 1
dimensional 1
disappear 1
discovers 1
disguise 1
doctor 10
doctors 1
down 1
during 2
dying 1
earth 4
east 1
either 1
ejected 1
eliminator 1
embryos 5
energy 1
escaped 1
escapes 1
escaping 1
expressing 1
extorts 1
fete 2
fiance 1
fight 1
final 1
for 2
force 1
fortunately 1
friend 2
from 8
gaderene 6
genetic 1
ghost 1
giant 1
given 1
green 2
grinning 1
guard 1
had 2
has 9
have 2
having 1
he 3
head 1
help 1
helping 1
him 1
himself 1
his 8
home 1
homeworld 1
house 1
housekeeper 1
hq 1
huge 1
implanted 1
in 13
inanely 1
injured 1
inspector 1
international 1
invasion 3
investigate 1
investigates 1
investigating 1
is 10
it 2
its 1
jo 4
just 1
key 1
kidnapped 1
killing 1
kills 1
knowledge 1
le 1
lead 1
leaving 1
led 1
left 2
legion 3
life 1
living 1
local 1
lords 1
lucky 1
maitre 1
makeup 1
mankind 1
marsh 1
masking 1
master 6
meanwhile 2
mess 1
met 1
midst 1
moment 1
mouths 1
mrs 2
mysterious 1
ninth 1
noah 3
of 4
old 1
on 2
opened 1
or 1
out 1
over 1
people 1
pilot 1
pin 1
plane 1
planet 1
purchased 1
race 1
raf 2
ready 1
realising 1
reappear 1
rebels 1
received 1
regards 1
regret 1
released 1
remaining 1
residents 1
restored 1
returned 1
returns 1
reunited 1
reward 1
scotland 1
searching 1
second 1
see 1
seemingly 1
sends 1
sensors 1
she 1
signature 1
since 1
sinister 1
spitfire 4
stays 1
still 1
storm 1
survives 1
tardis 1
terrorise 1
the 74
their 4
them 1
they 1
thing 1
third 1
this 2
though 1
threatening 1
three 1
time 2
tissue 1
to 15
toovey 2
town 1
transference 1
trooper 1
troops 3
unit 3
unwilling 1
village 2
villagers 3
walks 1
war 2
was 1
where 1
which 4
while 2
whistler 10
who 1
whose 1
will 1
wing 1
wiped 1
wishes 1
with 7
worked 1
world 2
worm 1
wormlike 1
wreckage 1
xanthos 2
yard 1
young 1
