4630000
/m/0cdjc2
/m/0cdjc2
D.J. MacHale
2004-08-03
{"/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
1th 1
a 6
according 1
acolyte 1
acolytes 4
active 1
advent 1
aghast 1
aided 1
aja 1
almighty 1
although 1
amazed 1
amber 1
an 1
and 19
andy 1
another 1
antidote 4
are 3
arranged 2
as 3
ashes 1
aspects 1
at 3
athlete 1
be 4
because 1
been 1
begun 1
best 1
biped 1
black 4
bobby 9
body 1
bombarded 1
book 1
boulder 1
bring 1
broadcasts 1
bug 1
bully 1
but 1
by 11
called 4
can 2
cannot 1
capital 2
characters 1
chetwynde 1
children 1
city 1
cloral 2
cloran 2
collapse 1
collect 1
contributing 1
courtney 3
covered 1
creates 1
cremates 1
crops 1
cubes 1
dane 5
dark 1
dedication 1
degrading 1
demanding 1
destiny 1
destroyed 1
developed 1
dimond 1
discovered 1
discovers 1
distinct 1
distributed 1
do 4
doing 1
dominated 1
each 1
eager 1
earlier 1
earth 4
eat 1
eelong 8
encounter 1
ends 1
enslaved 2
entire 2
equals 1
even 1
evil 1
experienced 1
exposed 1
eyes 1
faar 1
feathers 1
felines 1
find 1
finds 1
first 1
flume 2
flumes 2
for 5
free 1
from 3
gar 6
gases 1
gathered 1
genocide 1
gets 1
go 2
goes 1
goodbye 1
guardian 1
gunny 2
happened 1
harmless 1
has 3
have 1
having 1
he 2
head 1
help 1
her 4
hidden 1
his 2
hit 1
home 2
however 1
humans 2
hunt 1
idiot 1
in 7
intact 1
interests 1
interrealitial 1
irrigation 1
is 11
it 5
journal 1
journals 2
kasha 3
killian 1
kills 1
klee 7
learn 1
learned 1
leave 1
leaving 1
led 1
left 2
librarians 1
life 1
likewise 1
live 1
living 1
longer 1
loor 2
made 1
maintain 1
makes 1
march 1
mark 4
menial 1
mitchell 1
moment 1
most 1
mostly 1
moves 1
no 2
nontravelers 1
not 1
now 1
of 15
off 1
on 8
once 1
one 3
only 3
oppressors 1
orders 1
partner 1
passage 1
passed 1
passionate 1
pendragon 1
phenomenal 1
plan 1
plans 1
poison 3
poisoned 1
population 1
pursuit 1
quest 1
races 1
radio 1
reaches 1
reality 1
reluctantly 1
rendezvous 1
respective 1
return 1
revolution 1
role 1
romantic 1
saint 5
savant 1
says 1
school 1
scientific 1
scientists 1
second 4
see 1
sent 1
shadow 1
she 1
since 1
small 1
so 1
society 1
spader 2
squalid 1
stables 1
standard 1
starts 1
stir 1
store 1
story 1
strain 1
stress 1
success 1
system 1
take 1
taken 1
territories 1
territory 1
that 5
the 46
their 5
them 4
there 2
thereafter 1
these 1
they 4
things 1
this 2
through 3
throughout 1
time 2
to 20
together 1
toxic 1
transporting 1
trapped 1
traveler 3
travelers 3
trying 1
tunnels 1
two 1
under 1
undergo 1
unique 1
unsettling 1
up 1
urged 1
use 1
used 1
violently 1
vo 1
was 1
water 4
ways 1
well 1
what 2
when 1
where 3
wherein 1
which 1
while 1
who 1
will 2
with 5
without 1
work 2
worse 1
writing 1
years 1
yellow 1
you 1
zadaa 3
