4657767
/m/0cftxf
/m/0cftxf
Anthony Horowitz
2001-09-04
{"/m/01jfsb": "Thriller", "/m/06wkf": "Spy fiction", "/m/0dwly": "Children's literature", "/m/02xlf": "Fiction", "/m/08sdrw": "Adventure novel"}
14yearold 1
180s 1
a 48
about 6
academy 5
accurate 1
africa 1
african 1
after 5
again 1
against 1
alan 2
alex 44
alive 3
all 1
almost 1
alps 1
alters 1
among 1
an 8
and 43
another 1
apartheid 2
apoligize 1
appears 2
approaches 1
are 7
arrested 1
arrives 1
arriving 1
as 12
assets 1
assigned 1
assistant 1
at 7
attempt 1
attending 1
attitude 1
avoided 1
back 3
balance 1
basement 2
baxter 1
be 3
became 1
because 2
becomes 1
bed 1
bedroom 1
been 2
before 2
behavior 1
behaviour 2
being 1
billionaires 1
biology 1
bit 1
black 1
blanc 4
blunt 3
book 2
both 1
bottom 1
boy 2
boys 7
breakfast 1
bridge 1
bug 1
bulletproof 1
but 8
by 17
cage 1
can 1
canterbury 1
capture 1
causes 1
causing 1
cd 1
cell 1
chair 1
changed 1
chimney 1
circumstances 1
claim 1
class 1
clear 1
climbs 1
clone 5
cloned 1
clones 5
clothes 1
coincidence 1
complacent 1
convinced 1
copies 1
could 1
country 1
cover 2
crashes 1
crashing 1
daughter 1
david 2
day 4
dealer 1
deaths 1
debate 1
debriefed 1
decides 1
demands 1
despite 1
detail 1
device 1
die 1
died 2
dining 1
dinner 1
disappointed 1
discman 2
discovers 1
disguised 3
dissect 1
doesnt 1
down 2
downstairs 3
dr 7
dragged 2
drink 1
driving 1
drug 1
drugged 1
due 1
during 2
each 1
ear 1
earlier 1
earstud 1
efforts 1
electric 1
encounter 1
ending 1
ensues 1
equipment 1
escape 5
escaped 1
escaping 1
even 1
eventually 1
ever 1
examination 1
examine 1
examined 1
exploding 1
explosion 1
expose 1
fact 1
falling 1
falls 4
family 2
farmer 1
fell 1
fend 1
fifteen 1
fight 1
find 1
finds 2
fiona 8
fire 2
firefight 1
first 1
fit 1
floors 3
followed 1
following 3
for 5
forbidden 1
forcibly 1
founder 1
french 1
friend 3
friends 1
from 3
fun 1
gadgets 1
gap 1
gemini 1
general 1
gets 1
getting 1
globally 1
go 2
goes 5
goggles 1
greatly 1
grenade 1
grenoble 1
grief 14
ground 1
group 1
guard 1
guards 3
gun 3
gunner 1
guns 1
had 2
handcuffed 1
happened 1
hard 1
harry 1
harsh 1
has 3
have 3
he 10
head 1
headteacher 1
headteachers 1
helicopter 3
help 1
her 3
high 1
him 16
himself 3
his 21
hole 1
home 2
horse 3
hospital 1
hotel 2
house 1
however 4
hugo 2
identity 1
imitate 1
immediately 1
imprisoned 1
imprisons 1
improvises 1
in 19
including 2
indeed 2
informs 1
infrared 1
inheritance 1
initially 1
instance 1
into 7
introduced 1
investigate 2
ironingboard 1
is 30
it 11
ivanov 1
j 2
jack 1
jail 1
james 9
joe 1
jones 2
jump 1
jumping 1
jumps 1
just 4
knocked 1
knocks 1
know 2
laboratory 1
last 1
later 4
learns 1
liberate 1
like 1
locked 1
loses 1
machine 3
made 1
magnate 1
makes 1
man 2
manages 2
may 1
mcmorin 1
measured 1
meets 2
member 1
memorise 1
mi6 5
michael 2
middle 1
mini 1
monitoring 1
more 1
most 1
mountain 1
move 1
mrs 9
much 1
mysterious 1
name 1
named 2
new 1
next 2
not 3
notice 1
nowboard 1
of 20
off 4
office 2
on 8
one 3
ongoing 1
only 2
other 2
out 8
over 3
overhears 1
overpowers 1
parents 2
paris 1
pass 1
passes 1
paul 2
photographed 1
pins 1
plan 3
planning 1
planted 1
plastic 1
point 4
points 1
police 1
possible 1
potter 1
powerful 1
prepare 1
prepared 1
presumed 1
prevents 1
previously 1
produced 1
project 1
provided 1
provides 1
pulls 1
pursuit 1
put 1
railway 1
ramp 1
real 2
realising 1
reason 1
rebellious 1
received 1
receives 1
regime 1
reinstate 1
replaced 1
replica 2
replicas 2
required 1
resemble 1
resembles 1
respectively 1
retrieve 1
returned 1
revealed 1
reveals 3
rider 1
riding 1
river 1
roof 1
room 3
rooms 2
roscoe 2
run 2
runs 1
sas 3
save 1
saw 1
school 4
scientist 1
screens 1
sea 1
second 3
see 1
seem 1
seems 1
sees 2
sends 3
sent 1
several 1
she 4
shoot 2
shooting 1
shot 3
signal 1
signals 1
singleshot 1
sir 1
sixteen 2
ski 2
small 1
smithers 2
sneaking 1
snowboard 1
snowmobile 2
snowmobiles 1
so 1
soldier 1
soldiers 1
some 2
someone 1
something 1
son 3
sony 1
soon 1
south 2
speed 1
spends 1
sprintz 1
spy 1
squeezed 1
stand 1
starbright 1
startled 1
stay 2
stellenbosch 8
still 1
stormbreaker 1
stripped 1
stud 1
student 1
such 1
suddenly 1
suit 1
supermarket 1
supported 1
surgeon 1
surgically 1
surprised 1
suspicious 2
swapped 2
take 5
taken 2
team 3
tells 1
that 14
the 69
their 2
them 4
then 4
they 3
thinks 1
third 2
this 4
three 1
through 3
time 1
times 1
to 51
told 3
tom 1
top 1
towards 1
train 2
tranquilizer 2
transported 1
tree 1
tries 1
trouble 1
truth 1
tunnel 1
turns 1
tv 1
two 1
ultimately 1
unconscious 1
under 1
undercover 1
underpants 1
unharmed 1
unit 1
up 2
upon 1
used 1
uses 1
using 3
via 1
viktor 1
visiting 1
vries 1
waiting 1
wall 1
wanted 1
was 5
way 1
week 2
well 1
were 1
what 1
when 3
where 6
whether 1
which 1
while 1
who 5
why 1
will 3
window 1
with 11
without 1
witnesses 1
wolf 4
woman 1
world 2
wrong 1
yet 1
york 1
