201695
/m/01cnk9
/m/01cnk9
William Shakespeare

1400 1
1600 1
20 1
a 13
able 1
about 1
accept 1
actually 1
admit 1
advancement 1
advances 1
advantage 1
affects 1
again 5
ageing 1
all 4
almost 2
already 1
although 2
amusement 2
an 1
and 44
anne 11
appears 1
appointment 1
approach 1
are 4
arrange 3
arranged 1
arrive 1
arrives 3
as 11
asks 1
assumptions 1
attack 1
attendant 1
aunt 1
awaiting 1
away 4
back 2
bad 1
basket 4
be 4
beating 1
been 3
being 1
believe 1
black 1
blackmail 1
blue 1
both 2
boy 2
brentford 1
bridestobe 1
brief 1
brook 4
buck 1
burn 1
but 9
by 3
caius 6
can 1
cannot 2
capital 1
catch 2
causing 1
challenges 1
chaos 1
character 1
characters 1
chides 1
children 1
circa 2
clothes 1
come 1
comes 1
company 1
concerned 1
congratulate 1
considerable 1
contemporary 1
contents 1
continues 1
convinced 1
country 1
court 2
daughter 2
deceived 1
decide 1
decides 2
deliver 1
deserved 1
despises 1
devise 1
did 1
different 2
discovers 1
disguising 1
do 1
doctor 4
dress 3
dressed 1
due 1
duel 2
dumped 1
during 3
each 2
ego 1
elizabethan 1
embarrassed 1
embarrassment 1
ends 2
enlist 1
era 1
evans 3
even 1
eventually 2
every 1
fairies 2
falstaff 24
fat 1
father 1
featuring 1
fenton 8
filthy 1
financial 1
find 2
fire 1
fool 1
for 8
force 1
ford 12
forest 1
fortune 1
french 1
friends 1
front 1
full 1
gain 1
garter 2
gave 1
get 3
girl 2
go 1
goes 2
great 2
green 1
had 1
hal 1
hand 1
hard 1
has 4
have 4
having 1
he 21
help 1
henry 1
her 11
herne 1
herself 1
hide 1
hiding 1
highclass 1
him 7
himself 3
his 15
home 1
honour 1
horses 1
host 4
house 1
however 2
hugh 1
humiliated 1
hunter 1
husband 2
husbands 2
identical 2
identities 1
immediately 1
implies 1
in 14
including 2
indecent 1
instead 1
intentions 1
interested 1
into 4
introduce 1
invites 1
is 13
it 1
its 1
iv 1
jealous 2
john 1
joke 1
jokes 1
just 1
justice 1
keep 1
kept 1
knight 4
known 1
laments 1
last 1
laugh 1
laundering 1
laundry 2
leave 1
leaves 1
let 1
letters 3
like 2
line 1
living 1
local 1
lost 1
love 5
luck 2
maid 1
marriage 1
married 4
marry 5
master 3
meanwhile 1
meet 5
meeting 1
men 4
merry 2
mistress 13
money 1
much 1
must 1
news 1
nominally 1
not 4
now 1
nym 1
oak 1
obese 1
obtain 1
oer 1
of 19
offers 1
old 2
on 4
once 2
one 4
only 1
opportunities 1
other 4
others 1
out 3
overweight 1
own 1
page 14
pair 1
parents 2
park 1
parson 1
part 1
pay 2
period 2
persuades 1
physician 1
pinch 1
pistol 1
place 1
plans 1
play 2
played 1
playing 1
plays 1
plots 1
poins 1
pounds 1
pretend 1
prevents 1
previously 1
pride 1
prince 2
punish 1
pursuit 1
quickly 2
receive 1
recompense 1
reference 1
refuse 1
refuses 1
rejected 1
resilient 1
respects 1
respond 1
rest 1
results 1
returns 1
reveal 1
revels 1
revenge 2
revenged 1
right 1
river 1
rowdy 1
sacks 1
said 1
sake 1
same 2
saying 1
says 3
sees 1
send 1
series 1
servant 1
servants 1
set 1
setting 1
several 1
sexual 1
shall 1
shallow 1
she 3
short 1
similar 1
sir 1
slender 5
smelly 1
so 2
soliloquises 1
sport 1
squandered 1
steal 2
suddenly 1
suitor 2
surprisingly 2
suspect 1
taken 1
takes 2
tell 4
telling 1
tells 3
tempt 1
than 1
that 8
the 64
their 4
them 6
then 1
there 1
they 12
think 1
this 8
three 1
throwing 1
time 1
to 47
together 3
too 1
took 1
towards 1
town 1
tree 1
trick 3
tries 2
true 1
trusting 1
try 2
trying 2
two 1
up 2
us 1
very 1
virtuous 1
warns 1
was 2
ways 1
wealthy 1
well 1
welsh 1
what 1
when 4
whereas 1
which 3
while 1
white 1
whole 1
whom 1
wife 3
wild 1
will 2
william 1
win 1
windsor 3
with 10
wives 7
woman 2
women 4
woo 1
wooing 1
work 1
would 2
young 2
