4832818
/m/0cq3hm
/m/0cq3hm
John Steinbeck


a 12
about 2
across 1
again 1
ahead 1
allen 1
alone 1
also 1
always 1
an 1
and 30
annoyance 1
annoyed 1
answers 1
approaches 1
arranging 1
as 1
asked 1
asks 1
attention 1
attracted 1
away 2
back 2
bantering 1
be 1
because 1
becomes 2
been 1
before 5
being 1
boasts 1
body 1
bring 1
but 2
by 1
california 1
calls 1
can 1
cannot 1
captivated 1
care 1
celebrate 1
cents 1
chats 1
chores 1
chrysanthemum 2
chrysanthemums 2
clearly 2
colored 1
comes 2
compliments 1
congratulates 1
couple 1
crying 1
customers 1
cutting 1
cuttings 3
dark 1
decides 1
delighted 1
deliver 1
describes 1
description 1
diego 1
different 1
dinner 2
dirty 1
do 1
does 1
doing 1
down 1
dress 1
dressed 1
drive 1
drives 2
earns 1
elisa 12
elisas 1
emotion 1
energy 1
envies 1
ever 1
every 1
examines 1
extreme 1
eyes 1
fifty 1
finally 1
finds 3
finish 2
fixing 1
flower 1
flowers 3
focus 1
fog 1
for 10
formal 1
friendly 1
from 2
full 1
garden 2
gardening 1
gardens 1
get 2
gives 1
goes 1
great 1
hand 1
happy 1
has 6
he 13
head 1
heads 1
hears 1
henry 5
her 16
herself 1
him 11
his 6
hoofs 1
house 1
how 1
husband 1
husbands 1
i 1
if 1
im 1
in 8
instead 1
instructions 1
into 3
invites 1
is 8
it 1
job 1
jokes 1
keep 1
kind 1
knew 1
knives 1
large 1
lean 1
leave 1
life 1
like 1
living 1
longstemmed 1
looks 2
love 1
makeup 1
man 8
mans 2
meager 1
mend 1
mention 1
mirror 1
moment 1
movie 1
naked 1
named 1
narrator 1
narrows 1
nearly 1
negotiations 1
never 2
no 1
not 2
now 1
of 14
off 1
offers 1
old 1
on 6
one 1
open 1
opens 1
other 1
out 2
panoramic 1
plants 1
plod 1
pot 1
pots 2
praises 1
prepares 1
presses 1
promising 1
puff 1
putting 1
quick 1
ranch 1
reaches 1
ready 1
regular 1
remembers 1
road 2
sale 2
salinas 1
san 1
scissors 1
scrubs 1
seattle 1
see 1
seeds 1
seeing 1
seem 1
seen 1
sees 1
send 1
serious 1
settles 1
sharpening 1
she 15
shrouded 1
simply 1
skill 1
small 1
smoke 1
snatches 1
so 1
some 3
soon 1
speck 1
spent 1
squeak 1
stalks 1
steer 2
story 1
strong 4
suddenly 1
take 2
talking 1
telling 1
tells 1
tending 2
that 1
the 31
their 1
them 6
they 2
thirty 1
thirtyfive 1
though 1
to 20
together 1
tone 1
tossed 1
touches 1
town 3
transplanting 1
traveling 1
travels 1
tries 1
turns 3
two 1
understands 1
until 1
up 1
used 1
valley 1
vanishes 1
view 1
vigorously 1
wagon 2
washington 1
way 1
well 1
wellmatched 1
wheels 1
when 4
where 1
who 4
winter 1
with 6
woman 1
womans 1
work 2
yard 2
year 1
