4911872
/m/0ctv99
/m/0ctv99
Paul Davids

a 8
abduct 1
about 1
again 1
alive 1
alliance 2
and 10
are 1
artifacts 1
as 3
assistance 1
attack 1
attacked 1
attend 1
back 2
based 1
be 1
began 1
blessing 1
block 1
body 1
booby 1
bring 1
brings 1
brought 1
building 1
by 3
carbonite 2
cavern 1
center 1
chamber 1
colonize 1
come 1
concoct 1
crown 1
dagobah 2
dark 1
days 2
defense 1
destroy 2
discover 1
down 1
dragon 1
drapac 3
duro 4
duros 1
dustini 2
emperor 1
empire 3
encounter 1
escaped 1
fake 1
father3s 1
finally 2
fly 1
fortress 1
fulfilling 1
get 1
gold 1
golden 1
han 2
he 1
hear 1
help 1
him 1
his 3
imperial 1
imperials 1
imprisoned 1
in 4
is 3
it 2
kadann 3
ken 2
last 2
leader 2
leadership 1
leia 1
luke 2
managed 1
meet 1
mission 1
moffs 3
mount 1
never 1
new 2
news 1
of 7
on 4
one 1
only 1
pack 1
palpatine 1
perched 1
pierced 1
plan 1
planet 1
planetary 1
promising 1
prophecy 3
prophesying 1
quatrains 1
rebel 2
rebels 3
receives 1
research 1
retrieve 1
save 1
school 1
secret 1
seemingly 1
send 1
served 1
some 1
son 1
spoke 1
stabbed 1
stealing 1
still 1
stony 1
stop 1
stormtroopers 1
subject 1
that 4
the 23
then 1
there 1
though 2
to 13
trapped 1
triclops 3
trioculus 4
true 1
trying 1
under 1
upon 1
visions 1
visitor 1
was 6
when 1
which 1
while 1
who 1
with 3
would 1
yoda 2
