4932898
/m/0cvvk7
/m/0cvvk7
Sean McMullen
2002
a 2
abilities 1
abuse 1
again 1
ambitious 1
an 2
annihilates 1
any 1
apocalyptic 1
are 2
be 1
been 1
before 1
by 2
can 1
continent 1
crew 2
decades 1
destructive 1
different 1
emperor 1
entire 1
follows 1
for 2
has 1
hidden 1
host 1
is 1
it 1
its 1
mechanism 1
mysterious 1
named 1
of 5
parties 1
retrieve 1
rulers 1
secure 1
shadowmoon 3
silverdeath 3
some 1
spy 1
task 1
that 1
the 5
their 1
to 3
trying 1
unearthed 1
used 1
vessel 2
voyage 1
warsovran 1
who 1
whom 1
wish 1
working 1
