5078068
/m/0d1q2p
/m/0d1q2p
Marcus Clarke


1827 1
1833 1
1838 1
1846 1
a 34
abandoned 1
abandonment 1
able 1
aboard 1
about 10
accepts 2
according 1
across 1
additionally 1
admit 1
affairs 1
affection 2
afraid 1
after 4
afterward 2
afterwards 2
again 5
against 1
agreeable 1
alexander 1
alike 1
alive 1
all 4
alleged 1
allegedly 1
allow 1
allowed 1
already 1
also 9
alter 1
altering 1
although 2
american 1
amnesia 1
among 1
an 6
ancient 1
and 66
another 5
anything 1
appalled 2
apparent 1
appointed 1
are 2
aristocrat 1
arm 1
arms 1
arrival 1
arrives 1
arthur 4
as 10
asks 2
asleep 1
assassination 1
assumes 1
at 16
attempted 2
attempting 1
attempts 6
australia 1
away 4
back 2
bad 1
ball 1
bank 1
based 1
bastard 1
be 6
beach 1
because 2
become 1
becomes 3
becoming 1
been 12
before 2
befriend 1
begging 2
begs 2
being 1
believed 1
bellasis 7
best 1
betrayed 1
biological 1
bishop 1
bland 2
blind 1
boat 4
book 1
both 2
bound 1
break 1
brig 1
british 1
britons 1
brother 1
brought 1
building 1
burning 1
bush 1
busy 1
but 13
by 11
calling 1
calls 2
camp 1
can 1
cannot 1
cap 1
captain 6
captured 2
carries 1
carry 1
case 1
cell 2
chaplain 2
child 2
claiming 3
clandestinely 1
cloak 1
closed 1
coast 1
colony 1
come 3
comes 1
comfort 1
command 1
commandant 1
commander 1
commenting 1
community 1
comrades 1
conduct 1
confess 1
confesses 2
confinement 1
confuses 1
confusion 1
consents 1
considers 2
console 1
convict 1
convicts 8
coracles 1
corpse 2
corpses 1
could 1
country 1
cousin 2
crew 2
crime 1
crow 1
dainty 1
daring 1
dawes 43
dawesrichard 1
day 2
days 1
dead 1
death 4
debauchery 1
decide 1
decided 2
decides 1
decoys 1
deliver 1
demands 1
denounce 1
deserted 1
despite 3
devine 8
devines 1
die 1
died 1
diemen 1
dies 2
disapproval 1
discipline 1
disguise 1
do 1
doctor 1
does 6
domestic 1
door 1
doubling 1
down 1
draw 1
drinking 1
drown 1
drunk 1
drunkard 1
drunken 1
during 1
eaglehawk 1
eating 1
eight 1
ellinor 5
employed 1
enemy 1
enforce 1
engaged 1
entangled 1
escape 4
escapes 1
escaping 1
especially 3
eventually 1
ever 2
everything 1
exchange 1
expose 1
failure 1
fall 1
family 1
fate 1
father 2
fathered 1
favour 1
feelings 1
feels 1
fetch 1
fever 2
few 1
finally 2
find 2
finds 5
first 2
five 2
flogged 1
flogging 1
follow 1
following 1
food 1
for 17
forbids 1
force 1
forgetting 1
forging 1
forgiveness 2
fortune 2
found 7
free 1
frenchmans 1
frere 23
friendship 1
from 5
furious 1
gabbett 4
gale 1
gates 1
get 6
gets 4
gives 1
go 2
goat 1
gone 1
good 1
gravely 1
great 1
greatest 1
grievances 1
group 1
grown 1
grummet 1
guard 1
guilty 3
had 6
halfeaten 1
hand 1
hands 2
hanging 1
harbour 6
has 27
hat 1
hatches 1
hate 1
have 5
having 1
hazard 1
he 33
heartattack 1
held 1
hell 1
help 2
her 19
hero 1
hide 1
him 22
himself 5
his 36
hobart 3
home 1
hopelessly 1
horrible 1
hospital 2
house 3
how 3
