216924
/m/01frw1
/m/01frw1
Beatrice Sparks
1971-03-05
15yearold 1
a 26
about 3
acceptance 1
accepts 1
accidental 1
acquaintance 1
act 1
after 2
again 1
against 1
all 1
amount 1
an 7
and 26
are 6
as 4
asylum 1
at 5
attack 1
away 3
babbie 1
back 2
bad 1
be 1
become 2
becomes 2
before 1
begin 2
begins 2
being 1
berkeley 1
best 1
beth 3
bonds 1
book 1
both 1
boutique 2
boyfriend 1
boyfriends 1
boys 2
but 4
by 3
camp 1
can 1
chris 6
christmas 1
college 4
communicate 1
concerns 1
continues 1
crushes 1
custom 1
date 1
day 1
days 1
dead 1
deal 1
decides 1
demands 1
diarist 17
diary 2
died 1
difficulty 1
directions 1
doctor 2
drifts 1
drug 2
drugged 1
drugs 8
either 1
ends 1
engaging 1
enough 1
entry 1
epilogue 1
escapes 1
events 1
extreme 1
family 6
fast 1
father 3
feels 3
figure 1
final 1
finally 1
find 1
finds 1
flee 1
following 1
for 3
former 1
found 1
francisco 1
free 1
frequently 1
friends 6
friendship 1
friendships 2
from 9
gets 2
girl 2
girls 5
glamorous 1
glasses 1
grandfather 1
grandparents 2
guilt 1
happy 1
has 3
have 1
heart 1
her 26
heroin 1
high 1
hip 1
hitchhiking 1
home 5
homeless 1
homelessness 1
hometown 1
hostility 1
impressed 1
improving 1
in 7
ingests 1
insane 1
intense 1
introduce 1
invites 2
involved 1
is 7
issues 1
it 1
jeweler 1
jewelry 1
jill 2
job 2
joel 2
keeping 1
kids 1
laced 1
lapses 1
larger 1
lavish 1
leaves 1
like 1
local 1
longer 1
loses 1
loss 1
lsd 2
lsdare 1
made 1
make 1
may 1
meets 2
misses 1
money 2
mood 1
more 1
move 4
moved 1
moves 1
named 1
needs 1
new 7
night 2
no 2
not 2
now 1
observant 1
of 7
old 1
older 1
on 2
one 3
open 1
optimistic 2
or 1
outcast 1
over 1
overdose 1
overwhelm 1
parents 2
parties 1
party 3
passing 1
people 1
pills 2
pleasurable 1
police 1
position 1
powerful 1
pregnant 1
premeditated 1
pressures 1
priest 1
problems 1
professor 1
prostitution 1
rape 1
realizing 1
receives 1
records 1
relating 1
relationships 1
resolve 1
resume 1
return 1
returning 1
returns 2
reunites 2
richie 2
romantically 1
runs 1
san 1
scene 1
school 3
secures 1
sees 1
selling 1
sensitive 1
sent 1
served 1
sexual 1
sexuality 1
she 21
shelia 3
shelters 1
shop 2
shops 1
shunned 1
since 1
sleeping 2
small 2
social 2
sodasome 1
some 1
starting 1
states 1
stay 3
stolen 1
stoned 2
stronger 1
student 1
style 1
subject 1
success 1
such 1
summer 1
support 1
take 1
taking 1
teaching 1
ted 2
that 1
the 42
their 1
them 3
then 1
these 1
they 8
those 1
thoughts 1
threatened 1
three 1
through 1
times 1
tired 1
to 17
town 3
tranquilizers 1
traumatized 1
tremendous 1
trip 2
try 1
turn 1
unnamed 1
unwittingly 1
uses 1
using 2
virginity 1
vow 1
was 1
weeks 1
weight 1
were 1
when 4
where 3
which 1
while 2
who 1
whom 1
will 1
willingly 1
with 16
woman 1
worried 2
younger 1
