5185172
/m/0d6snt
/m/0d6snt
Georgette Heyer
1954
{"/m/028v3": "Detective fiction", "/m/08sdrw": "Adventure novel", "/m/02p0szs": "Historical fiction", "/m/01qxvh": "Romance novel", "/m/02n4kr": "Mystery", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
11year 1
60 1
a 10
absence 1
acquaintances 1
acting 2
after 2
aidedecamp 1
also 1
an 1
and 6
as 2
at 2
away 1
battle 1
body 1
boring 1
bow 1
by 1
circle 1
civilian 1
collector 1
combination 1
compassion 1
complications 1
congenial 1
cousin 1
curiosity 1
dampness 1
dark 1
days 1
dead 1
deal 1
devoted 1
dinner 1
engagement 1
expands 1
father 1
few 1
finding 1
following 1
for 1
formal 1
friend 1
friends 1
frightened 1
gentry 1
getting 1
he 1
highwayman 1
him 1
himself 1
his 4
honour 1
horseback 1
house 1
identify 1
in 5
include 2
is 2
jack 4
lad 1
law 1
lead 1
life 1
local 1
lost 1
manages 1
masked 1
miles 1
more 1
morning 1
murderer 1
next 1
of 6
old 1
on 1
other 1
out 2
over 1
overnight 1
own 1
party 1
plus 1
preventing 1
process 1
provide 1
rain 1
rapidly 1
reaches 1
resolve 1
retainers 1
retrieve 1
romance 1
runner 1
satisfy 1
scandal 1
sets 1
situation 1
some 2
somewhat 1
sorting 1
staple 1
stay 1
stolen 1
street 1
tedious 1
the 13
their 1
tiredness 1
to 5
toll 2
tollgate 1
treasure 2
view 1
villains 2
visit 1
waterloo 1
where 1
with 2
