5197098
/m/0d7c6s
/m/0d7c6s
V.S. Naipaul
1971
{"/m/0707q": "Short story"}
a 25
abominably 1
absconds 1
absolute 1
accompanies 1
accuses 1
acquired 1
activity 1
adapt 1
affairs 1
african 1
again 1
aggravating 1
aim 1
all 3
almost 1
along 1
also 1
alternative 1
although 1
an 6
and 17
another 1
apparent 1
appearances 1
are 1
army 1
as 4
asian 1
at 5
attending 1
attends 1
avoided 1
aware 1
back 2
bad 1
bar 1
beaten 1
become 1
becomes 1
becoming 1
been 1
before 1
beginnings 1
behaviour 1
being 2
better 1
between 2
blows 1
bobby 6
bombay 1
brother 6
business 1
but 3
buying 1
by 5
calm 1
can 3
canada 1
capital 1
centres 1
check 1
city 1
colleague 1
colonel 2
colonials 1
community 1
company 1
complex 1
compound 1
concerns 2
concludes 1
conditions 1
conference 1
conventions 1
country 2
countryside 1
cousins 1
cupboard 1
currency 1
dc 1
demeaning 1
deportation 1
deported 1
despite 1
destination 1
destined 1
dinner 1
diplomatic 1
discovers 3
do 2
does 1
doing 1
early 1
east 1
egypt 3
elder 2
embark 1
ends 1
engineering 1
england 2
enough 1
eventually 2
ever 1
expect 1
experience 1
explored 1
extra 1
fact 1
family 3
fear 1
ferry 1
find 1
first 2
fit 1
follows 2
for 4
fortune 1
frequented 1
friend 2
from 4
furious 1
further 1
furthermore 1
genocidal 1
gets 1
go 1
goes 1
governmental 1
growing 1
guard 1
had 2
hand 1
has 8
have 1
having 1
he 20
heads 1
helping 1
her 1
him 10
his 12
history 1
home 1
homosexual 1
hostile 1
hotel 2
hours 1
how 1
however 3
humiliate 1
illegally 1
illness 1
in 13
inadvertently 1
independence 1
indian 3
indians 1
initially 2
intent 1
is 20
it 3
jobs 1
journey 1
just 1
keep 1
king 2
later 1
learn 1
learns 1
level 1
liable 1
lift 1
liked 1
linda 6
live 1
lives 2
makes 1
manages 1
many 1
marital 1
marry 1
master 2
meet 1
mental 1
mention 1
mission 1
money 1
move 1
murder 1
murdered 1
murders 1
muslim 1
narrator 4
new 1
no 2
not 2
nothing 1
now 1
of 21
offered 1
offers 1
official 1
old 2
on 6
once 1
one 2
only 1
order 2
others 1
out 2
outset 1
own 2
peter 1
philosophical 1
pick 1
planning 3
plans 1
point 1
poised 1
poor 1
power 1
president 1
previous 1
prison 1
proprietor 1
put 1
rage 1
reach 1
reader 1
real 1
reasonable 1
rebuffed 1
recently 2
relationship 1
resolving 1
restaurant 2
richer 1
rising 1
road 1
rumours 1
run 2
rural 1
salary 2
scene 1
second 2
seduced 1
seems 1
serious 1
servant 3
set 3
sets 1
several 1
shame 1
since 1
site 1
situation 3
snack 1
so 1
some 1
son 1
soon 1
starts 1
state 1
story 4
study 1
studying 1
suffer 1
support 1
take 1
tale 1
that 7
the 49
their 1
then 1
there 3
these 1
they 4
things 1
to 22
tourist 1
tries 1
trip 1
two 3
unreliable 1
up 3
urban 1
value 1
violence 4
was 2
washington 1
wave 1
way 2
we 1
weak 1
wedding 1
weeks 1
well 1
west 1
when 3
where 3
while 4
who 8
whom 2
wife 1
will 1
with 4
witness 1
witnessing 1
woman 1
working 1
works 2
worse 1
years 1
yobs 2
young 1
younger 1
zulu 1
