5205080
/m/0d7rbm
/m/0d7rbm
John Boyne
2006-01-05
{"/m/0dwly": "Children's literature", "/m/0q9mp": "Tragicomedy", "/m/031mk": "Fable", "/m/0hwxm": "Historical novel"}
a 27
about 3
adolf 1
adventure 1
after 5
afterwards 1
age 1
agrees 1
all 2
allowed 1
almost 2
an 2
and 22
anymore 1
anyway 1
apart 1
are 7
army 1
arrives 1
as 8
asks 1
assumes 1
at 6
attached 1
auschwitz 3
author 1
away 1
back 3
bald 1
base 1
basically 1
be 3
because 1
become 1
becomes 1
before 1
behind 1
berlin 4
best 2
between 1
big 1
book 2
boredom 1
boy 6
boys 2
braun 1
brief 1
broken 2
brought 1
bruno 25
but 1
by 1
called 2
camp 2
can 1
caring 1
case 1
chamber 1
changed 1
chaos 1
circumstances 1
clothes 1
combination 1
commandant 2
complaint 1
course 1
crowded 1
curiosity 1
dark 1
day 2
deal 1
death 1
decides 1
depressed 1
despite 1
did 1
didnt 1
different 1
discover 1
discovers 1
dismay 1
does 1
doing 1
dress 1
dry 1
due 1
during 1
each 1
enough 1
epilogue 1
eva 1
eventually 1
every 1
excited 1
expected 1
explore 2
family 3
father 10
feels 1
felt 1
fence 3
fhrer 1
final 1
find 3
finds 2
firsthand 1
fit 1
followed 1
for 1
forced 1
form 1
found 2
friends 2
from 4
fury 1
gap 1
gas 1
gassed 1
german 1
gets 1
girl 1
go 4
goes 1
going 1
grandparents 1
great 1
greatly 1
gretel 3
group 2
growing 1
had 1
hand 1
hands 1
has 4
hats 1
have 2
he 15
heads 1
help 2
her 1
here 1
highranking 1
him 5
himself 1
his 20
hitler 1
holding 2
home 3
homesickness 1
hopeless 1
house 2
however 1
huge 1
ii 1
in 12
information 1
inspection 1
into 2
introduces 1
is 10
it 2
its 1
jew 1
jewish 1
jews 1
job 2
keep 1
knowledge 1
knows 1
kotler 1
last 1
later 1
lead 1
leaves 1
leaving 1
let 1
liberate 1
lieutenant 1
life 1
lives 1
lonely 1
losing 1
loving 1
maidservants 1
makes 1
march 2
meet 1
might 1
mind 1
misrecognition 1
missing 1
mixed 1
months 2
more 1
mother 3
move 1
naivety 1
name 1
nazi 1
neither 1
new 2
no 1
normal 1
not 5
nothing 1
notices 1
novel 1
of 13
officer 1
on 2
one 3
only 1
or 3
orders 1
other 3
out 3
outwith 1
over 1
own 1
parents 1
people 5
person 1
persuaded 1
persuades 1
pieces 1
place 2
play 1
polish 1
pondering 1
presumed 1
promoted 1
properly 1
pyjamas 2
rain 1
real 1
realizes 1
really 2
red 1
referred 1
refers 1
return 1
returns 1
romance 1
same 5
seem 1
seems 1
set 1
several 2
shmuel 6
shows 1
side 1
similar 1
sister 4
size 1
so 1
soldier 1
soldiers 1
soon 2
spent 2
spot 3
spots 1
ss 1
stance 1
states 1
stays 1
still 1
stops 2
story 1
striped 3
strong 1
suffering 1
surge 1
surroundings 1
take 2
talk 1
tells 1
that 8
the 40
their 2
them 3
then 1
there 3
these 2
they 7
thinks 1
this 2
three 1
through 1
to 34
together 1
trying 1
turns 1
tutor 1
twelveyearold 1
two 1
unable 1
unafraid 1
under 1
unhappy 1
until 1
up 3
using 1
visit 1
war 1
was 2
wearing 1
went 1
were 1
what 3
when 1
where 1
which 2
while 1
whilst 1
who 3
whom 1
will 1
with 9
without 1
word 1
work 1
world 2
would 1
year 3
yearold 1
yet 1
young 2
