5397043
/m/0dj_60
/m/0dj_60
Leslie Charteris
1930
{"/m/02n4kr": "Mystery", "/m/06n90": "Science Fiction", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
130 1
132 1
15 1
20th 1
a 25
abandon 1
about 2
account 1
action 2
acts 1
advance 1
advent 1
adventurer 1
adventures 2
after 9
again 1
against 1
agrees 1
aka 1
albert 1
alias 1
all 2
allowed 1
allowing 1
along 1
also 6
although 1
among 1
an 11
and 36
anonymity 1
another 1
any 1
anyone 1
anything 2
archetypal 1
are 1
arthursimon 1
as 5
ash 1
assassin 1
assassination 1
assigned 1
at 2
attacked 1
attempt 1
avenging 1
average 1
aware 2
background 1
badly 1
base 1
be 8
become 1
becoming 1
been 1
before 6
begins 1
being 2
blowing 1
book 7
books 2
both 2
brewing 1
briefly 1
british 2
but 8
by 6
can 2
capable 1
caroline 1
caught 1
cause 1
century 1
certainly 1
chance 1
character 1
charteris 1
chivalry 1
choose 1
chose 1
claud 1
clbre 1
clutches 1
code 1
coincidentally 1
collection 2
compatriots 1
completes 1
complicated 1
concluded 1
conclusion 1
conditions 1
contains 1
conversely 1
convince 1
conway 1
could 1
country 1
countryside 1
creates 1
crime 2
crimebuster 1
crimes 1
cruise 1
dead 1
deadly 1
decides 1
decision 1
depart 1
departure 1
destroy 1
destroyed 1
determines 1
determining 1
device 3
did 1
die 2
dies 1
disappeared 1
dishourable 1
documents 1
does 1
don 1
doomed 1
dramas 1
drops 1
dulcinea 1
during 3
earlier 1
effect 1
einstein 1
electroncloud 4
encounter 1
end 1
ends 1
england 1
enter 2
entering 1
escaping 1
europe 1
eustace 1
even 1
events 3
evil 1
example 1
exchange 1
execute 1
face 1
fades 1
fall 1
far 2
fate 1
featured 1
fellow 1
few 1
fey 1
fiction 2
final 1
finds 1
first 3
foiling 1
for 12
forefront 1
formally 1
free 1
friend 1
friends 1
from 3
front 1
full 1
fulllength 1
gallant 1
gawain 2
gawainnorman 1
general 1
george 1
getaway 1
getting 1
giant 1
girlfriend 1
give 1
given 1
go 1
government 2
governmentor 1
green 1
group 1
gunpoint 1
had 3
hand 1
hands 1
hang 1
harbored 1
has 2
have 2
he 18
hears 1
held 1
her 1
hero 5
him 2
himself 3
hints 1
his 14
holm 10
holy 1
hopeless 1
however 1
hundreds 1
identity 2
if 4
immediate 1
impossible 1
in 27
inavoidable 1
indicated 1
indicates 1
indications 1
insists 1
inspector 1
installation 1
interval 1
into 5
inventor 3
involved 1
is 17
it 5
job 1
keep 1
kent 14
kidnap 1
kidnaps 1
kill 1
killed 3
kills 1
king 1
knight 2
knighterrant 1
know 1
lady 2
last 5
later 5
leads 1
leave 2
led 1
length 1
liege 1
life 1
like 2
likely 1
limb 1
live 1
lives 2
lord 2
love 3
loves 1
loyal 1
loyalty 1
machine 2
mad 1
make 1
man 4
manifestly 1
many 1
marius 12
matter 1
mcleod 1
meaning 1
meanwhile 1
mediterranean 1
melee 1
men 2
mentioned 2
might 2
milestones 1
millions 1
months 2
more 1
most 1
murder 1
murderous 1
must 4
mysterious 1
mystery 1
name 1
named 1
necessary 1
need 1
never 2
new 2
next 3
nine 1
no 1
norman 7
not 7
notes 3
novel 4
novella 1
novellas 1
novels 1
now 1
nuclear 1
number 1
of 36
off 2
offers 1
on 7
once 1
one 1
only 6
operate 1
or 2
order 3
orders 1
originating 1
othercan 1
out 2
outbreak 1
outing 1
over 2
own 1
pardon 1
particular 1
parts 1
passed 1
passing 1
past 1
patricia 7
people 2
perhaps 1
perils 1
physicial 1
place 1
plans 2
played 1
point 1
politely 1
possibly 1
potentially 1
predicting 1
prefers 1
present 1
previous 2
prince 4
proceeds 1
protagonist 1
public 1
published 2
purposes 1
quest 1
quixote 1
rage 1
rather 1
rayt 1
reader 1
realistic 1
realizes 1
really 1
realm 1
recreated 1
reference 1
reflected 1
refuses 2
reluctantly 1
remain 1
remains 1
reporter 1
reputation 1
rescuing 1
reservation 1
retired 1
return 1
revealed 3
reveals 2
revisit 1
roger 1
romantic 1
safety 1
saint 12
same 1
sanctioned 1
save 2
saved 1
saw 1
saying 1
science 1
scientist 7
scotland 1
second 1
secret 2
secretly 1
seen 1
select 1
sequel 1
series 1
setting 1
shadows 1
she 2
shooting 1
shoots 1
shown 1
simon 5
sir 3
so 3
sometimes 1
somewhat 1
spy 1
stands 1
starts 1
statements 1
states 1
steal 1
stop 1
stories 1
story 1
straightforward 1
stumbles 1
such 2
survive 1
take 3
taken 1
takes 2
teal 2
team 1
templar 27
terrible 1
terror 1
testing 1
than 2
that 17
the 95
their 1
them 1
there 1
these 1
they 2
things 1
thinks 1
this 6
though 2
threats 3
three 2
through 1
time 3
title 1
to 36
tone 1
totally 2
touches 1
tragic 1
trick 1
tricking 1
trilogy 2
trouble 1
troubling 1
true 1
try 1
turning 1
two 1
tycoon 1
uncharacteristically 1
underground 1
unlike 1
unrelated 1
unrequited 1
unspecified 1
up 2
upon 1
use 1
vapor 1
visiting 1
wants 1
war 4
was 5
weapon 5
weapons 1
weaponthe 1
were 1
what 2
when 3
where 2
which 6
while 2
whitehead 1
who 5
whoever 1
wholly 1
window 1
with 7
without 1
witness 1
witnessed 1
work 1
working 1
world 2
would 6
wouldbe 1
wouldnt 1
wrote 1
yard 1
years 3
yet 1
