5413611
/m/0dks99
/m/0dks99
Lawrence Miles

2 1
a 41
abandoning 1
about 4
accidentally 1
across 2
actions 1
activate 1
activated 1
active 1
activities 1
actually 3
addition 2
adds 1
advantage 1
after 2
against 2
agency 1
agent 3
agents 1
agree 1
alien 1
all 3
already 1
also 3
although 1
amazed 1
an 5
ancient 1
and 55
another 2
anyone 1
appalled 1
appear 2
appears 1
approached 1
are 11
around 1
arrival 1
arrive 2
arrives 2
artifact 1
as 12
assume 1
assumes 1
at 6
attack 3
attacked 2
attacking 1
attacks 1
attempt 1
attempted 1
attempting 1
attempts 1
auction 5
await 1
awaiting 1
aware 1
babies 1
back 2
battle 3
be 4
bear 1
because 2
become 1
been 5
before 5
begin 2
being 4
beings 3
believe 1
believed 1
bergman 2
between 1
bidder 1
bidders 5
bidding 1
biodata 8
black 1
blast 1
blocktransfer 1
bloody 1
body 7
bomb 1
borneo 3
both 1
bregman 8
brother 2
brought 1
buries 2
bursts 1
but 9
by 9
called 2
calling 1
came 1
can 7
captured 1
castle 1
catatonic 1
celestial 1
celestis 5
centre 2
chance 2
chaos 1
chess 1
chooses 1
city 9
claimed 1
coffin 2
collapse 1
colonel 1
come 1
comfort 1
companion 2
computational 1
conceptual 2
concludes 1
conclusion 1
confirmed 1
conflict 1
confronts 1
confused 3
consumed 1
contact 1
containing 1
control 1
could 1
couldnt 1
counter 1
cousin 1
create 1
criminal 1
crossed 1
crystal 1
culture 1
current 4
dalek 2
daleks 2
darkhaired 1
deactivated 1
dead 7
deal 1
deals 1
death 1
debt 1
defenses 1
define 1
degree 1
deliberately 1
demands 1
descends 1
desire 1
despair 1
despite 1
destroy 2
didnt 1
differently 1
discharged 1
discoverers 1
disguised 1
dismantles 1
dives 1
do 1
doctor 38
done 1
down 1
downloaded 1
drawn 1
dronid 5
dug 1
dying 1
each 2
earth 3
east 1
eighth 1
ekobalt 3
embryos 1
emerges 1
empire 1
encountered 2
enemies 1
enemy 5
energy 1
enough 1
entangled 1
entity 2
escape 1
eventually 1
evolution 1
existence 3
explodes 1
exploited 1
extradimensional 1
fact 3
faction 6
falls 1
feelings 1
fell 1
felt 1
filled 1
final 1
find 1
finding 1
finds 2
fired 1
first 1
flashbacks 1
flee 1
floor 1
follow 1
following 1
follows 1
for 9
forced 1
forever 1
fought 2
from 16
further 1
future 7
gabrielidean 1
game 1
general 2
generate 1
giant 1
give 2
gives 1
glad 1
go 2
going 1
gone 1
gossip 1
got 2
governments 2
grave 1
ground 1
groups 1
guest 1
gun 1
had 1
hand 1
hands 2
happening 1
has 14
have 7
having 1
he 20
heads 2
hearing 1
heart 1
her 4
herself 1
hide 1
higher 1
him 4
himself 1
his 21
history 2
hit 1
home 1
homunculette 6
horrified 1
hovering 1
how 1
however 3
human 1
humanity 1
identity 2
if 1
ignore 1
in 24
incarnation 1
include 1
indies 1
individual 1
influence 2
information 2
insecurities 1
inside 5
instead 1
interfering 1
internal 1
intervenes 1
intervention 1
into 9
intruders 1
invasion 1
investigate 1
is 27
it 19
its 2
jane 1
just 2
justine 1
killed 2
known 3
knows 2
kortez 1
kroton 1
krotons 3
laika 1
last 1
later 1
learnt 3
leopards 1
lieutenant 1
list 1
live 1
loathing 1
local 1
locates 1
longer 1
lord 3
lords 5
made 2
maintain 1
make 2
makes 2
man 2
manipulated 1
manjuele 5
many 1
marie 4
mark 3
marked 1
materialises 2
meanwhile 1
meet 1
memory 1
mental 1
mictlan 2
mind 6
minds 1
moment 1
more 3
mortally 1
mr 1
mysterious 1
named 1
natural 1
nearby 1
need 1
never 4
next 1
no 1
noone 1
not 2
now 5
observe 1
of 28
off 2
offer 1
on 12
once 3
one 2
only 3
or 2
organised 1
originally 1
other 5
others 1
out 6
outside 3
over 1
own 6
pads 1
pair 1
paradox 4
part 2
party 1
passengers 1
past 1
payment 1
people 1
perfect 1
piece 1
place 1
planet 1
playing 1
point 1
populated 1
portal 1
possess 1
possessed 1
possibly 1
powers 1
presence 1
presses 1
prior 1
prison 1
