5486216
/m/0dnz4k
/m/0dnz4k
Gene Stratton-Porter
1900
{"/m/0dwly": "Children's literature", "/m/02xlf": "Fiction", "/m/01qxvh": "Romance novel"}
a 32
able 1
about 1
above 1
abused 1
accent 1
adult 1
after 4
age 2
aid 1
aim 1
alert 1
all 3
almost 2
although 1
always 1
an 4
and 51
angel 15
anyone 1
appears 1
applies 1
are 3
arm 1
as 8
aside 1
assertiveness 1
at 6
baby 1
back 1
be 7
beauty 2
become 1
becomes 2
been 3
before 1
behavior 1
belief 1
believing 1
better 1
bicycle 2
bird 6
black 8
blow 1
boards 1
body 1
bones 1
books 2
both 2
bothered 1
boundaries 1
boy 1
bravery 1
bright 1
bring 1
brogue 1
business 1
but 4
by 5
called 1
camp 3
can 5
capabilities 1
capture 1
captured 1
carriage 1
carries 1
carter 1
causes 1
chest 1
chicago 3
chief 1
claims 1
clare 1
class 1
clergymans 1
college 1
come 1
comes 2
company 6
complexion 1
conducts 1
conquers 1
continues 1
county 1
cover 1
creates 1
creatures 3
criminals 1
crushes 1
curiosity 1
cut 3
danger 1
daughter 1
day 5
days 2
deadly 1
declares 1
definite 1
descended 1
deserves 1
despite 1
develops 1
disability 1
discovered 1
disinherited 1
dollars 2
down 3
drive 1
drives 1
dumb 1
duncan 2
dunderry 1
during 1
duty 1
engaged 1
enough 1
environment 1
escapes 1
except 1
exhausted 1
exhaustion 1
expensive 1
explain 1
faithfulness 1
fallen 1
falls 2
far 1
father 5
fears 2
felled 1
few 1
field 1
fights 1
figure 1
finally 1
find 3
finds 2
finest 1
finish 1
fire 1
fired 1
first 2
fist 1
five 1
flirts 1
follow 1
for 10
former 1
foster 1
freckled 1
freckles 32
freed 1
friends 1
from 4
frustration 1
further 1
gain 1
gang 1
gentlemanly 1
gets 1
girl 2
given 2
gives 3
go 2
going 1
grand 1
granted 1
guard 1
guarding 2
gun 2
had 3
hair 1
hand 3
hard 1
has 8
hat 1
have 1
he 25
head 1
help 1
her 18
hero 1
hidden 1
him 12
himself 1
hires 1
his 25
history 1
hold 1
home 2
hospital 1
house 1
however 1
hundred 1
husband 1
if 1
impressed 1
impression 1
in 21
infancy 1
information 1
initially 2
inquiries 1
insisting 1
instantly 1
instead 1
instinct 1
intentionally 1
interest 1
into 1
ireland 1
irish 2
is 19
it 4
jack 7
jacks 1
james 1
job 1
join 2
joined 1
just 1
kill 1
killed 1
killing 1
kind 1
known 1
lady 1
land 1
last 1
lead 2
leads 1
learn 1
left 1
lifetime 1
like 1
limberlost 2
limited 1
live 2
local 1
logs 1
lonely 1
look 3
lord 3
lose 1
lost 2
love 3
lovely 1
lumber 5
lumberman 1
make 1
makes 1
manager 1
manages 1
managing 1
marked 1
marks 1
married 1
marry 1
maxwell 1
mclean 7
meanwhile 1
men 1
missing 1
more 1
most 1
mother 1
my 1
name 8
names 1
natural 1
near 1
nearly 1
nephew 1
never 2
next 3
night 2
no 2
nobility 1
noble 1
not 1
of 29
off 3
offer 1
offers 1
official 1
omore 2
omores 1
on 8
one 3
only 2
opportunity 1
orphan 1
orphanage 3
other 2
out 4
own 3
parents 2
people 1
perimeter 1
perished 1
personally 1
photographer 1
photographs 1
plans 1
plant 1
playing 1
point 1
polite 1
positive 1
precautions 1
pretends 1
priceless 1
prime 1
process 1
promises 1
protect 1
prove 3
proven 1
purchase 1
pushes 2
put 1
puts 1
raised 1
rapids 1
rather 2
rattlesnakes 1
reach 1
reading 1
reappear 1
reason 1
recently 1
recovered 1
red 1
regards 1
reinforcements 1
relax 1
remember 1
repeatedly 1
reputation 1
respectable 1
rest 2
returns 2
revives 1
revolver 2
revolvers 1
rides 1
right 1
room 2
ross 1
rounds 1
rush 1
rushes 1
sawing 1
scarcely 1
searching 1
second 1
secretly 1
sees 1
sevenmile 1
several 5
she 5
shot 1
should 1
show 1
shows 1
since 2
sings 1
sixteen 1
skill 1
slight 1
smashes 1
smuggle 1
so 4
social 1
speaks 1
specimens 1
spite 1
spots 1
states 1
steal 1
steals 1
stick 2
still 1
stolen 1
stout 1
stump 1
swamp 30
swampland 1
swears 1
swiftly 1
sworn 1
take 1
teamster 1
terence 1
terrified 1
test 1
than 3
that 15
the 97
their 2
them 1
themselves 1
then 2
these 1
they 4
thieves 6
think 1
this 1
those 1
thought 1
thousand 1
three 1
through 1
ties 1
timber 2
times 1
to 44
took 1
touched 1
toward 1
transplanted 1
tree 4
trees 5
trek 1
true 1
trust 1
twenty 1
twice 1
two 1
under 3
unique 1
united 1
upon 2
urban 1
use 1
uses 1
using 1
vengeance 1
virtue 1
walk 1
walking 1
was 1
watch 3
way 1
we 1
wealthy 1
weapons 1
week 1
well 1
were 1
wessner 4
what 1
when 5
where 1
which 2
while 5
who 7
whom 1
wife 1
wilderness 1
wildlife 1
will 6
wins 1
wire 1
with 11
woman 6
women 1
wonders 1
work 2
worry 1
worship 1
wrist 1
year 1
years 3
yours 1
youth 1
