5606764
/m/0dvzgn
/m/0dvzgn
James Patterson
1998-10-28
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 9
about 2
action 1
adults 1
after 2
agent 1
agree 1
all 1
along 1
also 1
an 2
and 23
anthony 1
are 1
as 3
at 4
auction 1
back 1
badly 1
bear 1
becomes 1
before 1
behind 1
being 1
bird 3
blind 1
bluff 1
book 1
boy 1
break 1
brother 1
burnt 1
but 2
by 1
cabin 1
calls 1
car 3
caught 1
cause 1
centers 1
children 3
chinese 1
clinic 1
colorado 1
come 1
cooperate 1
corporations 1
crash 1
cruel 1
death 1
devin 1
divebomb 1
does 1
down 1
during 1
escape 2
escaping 1
eventually 1
everyone 1
excited 1
experiments 1
explosion 1
expose 1
fbi 2
find 5
flock 6
fly 1
following 1
for 1
force 1
forest 1
found 1
frannie 11
friend 2
get 1
gillian 7
girl 1
go 1
grew 1
group 1
guides 2
harding 1
harrison 1
have 1
he 1
helicopters 1
help 2
her 3
hiding 1
holds 1
home 1
hospital 1
house 2
however 3
hurt 1
husband 2
icarus 1
in 5
inn 1
inside 1
into 2
is 5
it 2
keeper 1
kept 1
kids 2
killed 1
killing 1
kit 8
known 1
leader 1
learn 1
leaves 1
major 1
man 1
manages 1
matthew 4
max 10
meanwhile 1
meets 1
michael 3
missing 1
mysterious 1
name 1
named 3
neither 1
news 1
night 1
nonfatally 1
notice 1
of 7
on 3
one 2
oneill 1
operates 1
out 2
oz 1
parents 1
patient 1
peter 1
peyser 1
place 3
previous 1
recovers 1
rents 1
report 1
rest 2
running 1
school 7
see 1
sees 1
sell 1
she 2
shooting 1
shot 1
siblings 2
sinister 1
small 1
son 1
story 1
take 2
takes 2
tell 1
the 39
their 1
them 2
they 11
theyve 1
thomas 3
threat 1
three 1
to 13
tom 1
try 2
turns 1
two 1
uncle 1
up 1
vet 1
veterinarian 1
was 1
well 1
wendy 1
what 1
when 2
where 2
while 1
whitecoats 4
who 3
whom 1
whose 1
wings 2
with 4
woods 1
work 2
years 1
