5648330
/m/0dy3_f
/m/0dy3_f
William Barton
1995-03-01
100000 1
20 1
a 12
about 1
advanced 1
after 1
afterward 1
against 3
alexandra 1
alien 1
aliens 1
alix 4
all 1
although 1
and 14
andromeda 1
another 1
any 1
are 3
army 1
arrived 1
artificial 1
as 2
ask 1
athol 5
athols 1
attacked 1
back 1
be 3
been 2
believe 1
best 1
betrays 1
brief 1
but 1
by 2
campaign 1
childhood 1
choice 1
comes 1
command 1
composed 1
comrade 1
concerned 1
concubines 1
conflicted 1
conspirators 2
daughter 1
davy 1
despite 1
developed 1
done 1
down 1
drove 1
early 1
earth 3
earths 2
easy 1
either 1
empire 2
encounteredthey 1
facility 1
fall 1
feeling 1
feelings 1
finds 1
finish 1
foe 1
for 4
forever 1
friends 2
from 2
galaxy 1
galaxyspanning 1
general 1
genocidal 1
girlfriend 1
give 1
government 1
grinds 1
has 5
have 1
he 8
heads 1
help 1
helps 1
her 2
herself 1
his 5
home 1
homeworld 1
however 2
hu 4
hyperspace 1
if 2
in 3
intelligences 1
intke 1
into 4
invited 1
involved 1
is 3
it 2
join 1
kaye 2
later 1
learns 1
leaves 1
local 1
making 1
master 8
masters 2
moreno 2
morrison 1
most 1
neargenocidal 1
new 2
newcomers 1
no 1
now 2
of 9
off 1
offplanet 1
old 2
on 2
one 2
or 1
out 1
over 3
own 1
planet 1
plotting 1
ponder 1
provoke 1
race 7
races 2
rebellion 4
recruited 1
rejoins 1
response 1
rest 1
returns 1
revolt 1
right 1
ruins 1
runs 1
second 1
series 1
served 1
shrhht 1
slave 1
slaves 2
so 1
soldier 1
soon 1
spared 1
stole 1
subject 1
sure 1
survivors 1
taken 1
takes 1
that 8
the 26
their 1
them 3
there 3
they 1
time 2
to 10
train 1
trained 1
travel 1
up 1
vacation 1
victories 1
visit 1
war 2
was 1
welcome 1
what 1
whether 1
will 2
winning 1
with 3
worries 1
would 1
years 2
yet 1
