5667292
/m/0dz2r4
/m/0dz2r4
Glen Cook
1984-05
a 21
abduct 1
absent 1
abused 1
accepts 1
acquires 1
affiliated 1
after 2
afterwards 1
aide 1
alive 1
all 6
allowing 1
ally 1
along 2
also 1
ambush 1
amok 1
among 1
an 3
and 19
another 3
are 7
armies 2
arrive 1
arrows 1
as 4
assassinating 1
at 2
attack 2
authority 1
back 1
backing 1
backstabbing 1
battle 2
battles 1
be 3
because 1
becomes 1
before 3
begins 1
beheads 1
being 2
believe 1
belong 1
beryl 1
besiege 1
beware 1
black 1
bolster 1
both 1
bounty 1
break 1
busy 1
but 10
by 9
camp 1
can 2
captain 2
captured 1
captures 2
casualties 1
caught 1
causes 1
cellar 1
centuries 1
charm 1
choice 1
circle 9
city 2
collapse 1
collapses 1
collect 1
colonel 1
comet 2
command 1
company 13
confusion 1
contact 1
contract 1
control 1
cracks 1
croaker 7
crush 1
current 1
dangerous 1
daring 1
darling 4
deadly 2
decadent 1
defeat 1
defeated 1
defect 1
defenses 1
delays 1
deserts 1
details 1
devastated 1
disasters 1
discovered 1
disguised 1
disobedience 1
display 1
does 1
dominator 2
down 2
drive 1
during 2
each 1
east 1
eastern 2
effective 1
eighteen 1
elmo 1
embarrassing 1
empire 4
employer 1
employment 1
enemy 1
ensuing 1
even 1
eventually 1
except 1
face 1
factions 1
fate 1
feather 1
fiery 1
fighting 1
finally 2
find 1
flees 1
for 10
forced 2
forces 4
fortress 1
fortune 1
found 1
from 3
front 2
further 1
future 1
gain 1
gather 1
general 1
genius 1
girl 1
given 1
gold 1
great 1
had 1
half 1
hanged 1
hangs 1
harden 2
has 3
he 9
head 1
headquarters 1
heartland 1
held 1
her 7
herself 1
him 5
his 8
hoping 1
humiliation 1
ignores 1
immune 1
imperial 1
important 1
in 10
incapacitated 1
information 1
intended 1
internal 1
into 1
is 20
isolated 1
it 4
its 1
itself 2
jewels 1
journey 1
kill 1
killed 3
killing 1
knows 1
lady 16
later 1
laying 1
lead 1
leading 1
leaks 1
learn 1
learned 1
learns 2
limper 15
link 1
losing 1
loyalty 1
magic 4
magical 1
makes 1
man 1
manages 1
march 1
massive 1
meeting 1
member 2
members 2
mere 1
military 1
million 1
minion 1
morale 1
more 3
most 2
muster 1
mute 1
nagging 1
named 1
nearby 1
neutral 1
new 3
next 1
nineyearold 1
no 1
normally 1
north 2
not 5
number 1
observes 1
of 24
offers 1
on 2
once 1
one 1
only 1
open 1
oppose 1
order 1
original 1
other 2
over 1
overall 1
own 1
papers 1
part 1
physician 1
place 1
plans 1
plot 1
post 1
presented 1
prophecy 1
prophesied 1
protected 1
quarter 1
race 1
raker 4
raven 5
readily 1
ready 1
rebel 5
rebellion 1
rebels 4
recruit 1
recruited 1
region 1
reincarnated 1
reincarnation 1
remaining 1
remorseless 1
rescues 1
reserved 1
result 1
retreat 1
retreating 1
revolt 1
rid 1
rival 1
rivals 1
rolls 1
room 1
rose 2
runs 1
saps 1
says 1
seem 1
seems 1
sends 1
sent 1
sentenced 1
sergeant 1
service 1
shapeshifter 1
share 1
she 1
shifter 1
shoots 1
shows 1
silent 2
silver 1
since 1
sister 1
sky 1
slain 1
slows 1
so 2
soldiers 1
some 1
someone 1
something 1
sortie 1
soulcatcher 11
speculates 1
standards 1
steal 1
stir 1
string 1
strongest 1
stumbles 1
stuns 1
suffers 1
suggestion 1
supplied 1
suspicion 1
symbol 1
syndic 2
tail 1
take 2
taken 11
takes 2
taking 1
targeted 1
that 8
the 115
them 4
then 4
they 2
theyre 1
this 3
though 1
thought 1
thousand 1
time 2
to 38
top 1
torture 1
towards 1
tower 4
tracks 1
training 1
transported 1
treacherous 1
tries 1
troops 1
trouble 1
try 1
trying 1
twentyone 1
two 1
uncharacteristically 1
uncommonly 1
under 2
underground 1
unexpectedly 1
unit 1
unswerving 1
up 3
upon 1
uses 1
usually 1
utterly 1
victorious 1
victory 1
waiting 1
want 1
war 1
was 5
waste 1
watching 1
weakening 1
weeks 1
well 1
what 1
when 4
where 1
whereabouts 1
which 2
while 5
whisper 5
white 2
who 4
whole 1
will 2
with 10
withdraw 1
without 1
witness 1
wizard 1
wizards 2
world 1
wrath 1
yet 1
zouad 2
