240335
/m/01jv_m
/m/01jv_m
Henry James
1898
{"/m/03npn": "Horror", "/m/02xlf": "Fiction", "/m/0l67h": "Novella"}
a 10
absence 1
adorable 1
after 2
again 1
also 1
an 1
and 20
another 1
any 1
appears 1
are 2
arms 1
around 1
arrives 1
at 3
attempts 1
attending 1
aware 1
away 1
be 1
become 1
becomes 1
been 2
begins 2
behind 1
being 2
boarding 1
both 1
bother 1
boy 2
but 1
by 6
cared 1
challenged 1
charge 1
charmed 1
children 3
claims 1
clearing 1
come 1
communications 1
confronts 1
controlled 1
convinced 2
country 2
currently 1
dead 1
death 1
deaths 1
demands 1
denies 1
died 2
does 1
duties 1
each 1
employee 1
employer 2
essex 1
estate 2
ever 1
expelled 1
explicitly 1
expulsion 2
fact 1
fears 1
figures 2
finally 2
find 1
finds 1
flora 8
for 6
former 1
friend 2
from 3
full 1
ghost 3
ghosts 1
gives 1
go 2
governess 16
grim 1
grose 4
grounds 1
had 1
has 5
have 2
he 3
headmaster 1
her 8
hesitant 1
him 2
himself 1
hired 1
his 2
horrid 1
house 2
household 2
housekeeper 1
how 1
implied 1
in 6
interested 1
is 13
issue 2
it 1
jessel 3
just 1
known 1
later 1
learns 1
leaves 1
leaving 1
letter 1
listens 1
lives 1
living 1
london 1
longer 1
look 1
mainly 1
male 1
man 2
manuscript 2
matter 1
members 2
miles 11
miss 3
molested 1
mrs 4
much 1
music 1
narrator 1
nephew 1
never 2
new 2
niece 1
night 1
no 1
not 3
notice 1
now 1
of 15
or 1
other 3
parents 1
peter 1
plays 1
predecessor 1
presence 1
press 1
prior 1
quint 3
raise 1
raising 1
reading 1
recognize 1
relationship 1
responsible 1
returns 1
school 2
secret 1
secretly 1
see 3
seeing 1
seem 1
seen 1
sexual 1
sexually 1
she 8
shields 1
significance 1
sister 1
some 1
soon 2
sort 1
speaks 1
spent 1
states 1
stating 1
story 1
summer 1
supernatural 1
takes 1
talking 2
tells 2
that 10
the 46
their 3
then 1
there 1
thereafter 1
these 1
they 4
this 1
time 1
to 17
too 1
travels 1
two 1
uncle 2
unnamed 1
want 1
when 3
while 2
who 3
whom 2
will 1
window 1
with 4
without 1
woman 1
wood 1
written 1
young 3
younger 1
