5754818
/m/0f2xk9
/m/0f2xk9
Barbara Mertz
2002
117 1
a 24
about 4
above 1
abuse 1
abused 1
acquainted 1
acquires 1
adventures 1
after 2
again 2
agent 3
aid 1
albion 3
albions 6
all 1
also 2
amazed 1
ambush 1
amelia 1
american 1
an 3
ancient 1
and 32
announcement 1
another 1
antiquities 1
anything 1
appear 3
appears 2
are 10
around 1
arrive 2
arriving 1
artifacts 1
as 5
asks 1
assumes 1
at 5
attempts 1
authorities 1
away 1
baby 1
back 1
be 1
bear 1
become 1
been 1
before 1
behind 2
bertie 3
best 1
black 2
both 2
bought 1
brief 1
british 1
brother 1
but 8
by 5
cache 1
cairo 3
called 1
capture 1
captures 1
cartouche 1
caught 3
center 1
charge 1
claiming 1
clear 2
climbing 1
clue 1
collector 1
combination 1
come 1
coming 1
companion 1
compound 1
conclusions 1
concoct 1
confronts 1
confusion 1
consider 1
considers 1
contain 1
containing 1
contrite 1
convert 1
converted 1
cosmetic 1
cyrus 3
daughter 2
deal 1
deals 1
decide 1
decides 1
deir 1
desire 1
destroy 1
dies 1
disappear 1
disappointed 1
discover 2
discovery 1
do 1
does 1
doing 1
done 2
dungeon 1
early 1
egypt 1
el 1
emerson 10
emersons 6
employee 1
encounter 2
encounters 1
engineers 1
english 1
escape 3
esin 4
even 1
evidence 1
excavations 1
excitement 1
expect 1
expeditions 1
explodes 1
family 4
feels 1
few 2
figure 1
fires 1
first 1
fist 1
follows 1
for 5
force 1
forced 3
formation 1
former 1
found 1
four 1
free 1
from 5
frosty 1
funerary 1
gaza 3
get 5
getaway 1
getting 1
give 1
god 4
going 1
golden 1
had 3
hand 3
happens 1
harshly 1
has 4
have 4
he 12
head 1
help 1
her 3
hiding 1
hills 1
him 5
hired 1
his 10
holy 1
home 2
hoping 1
however 1
humiliating 1
if 2
implausible 1
in 14
indeed 1
infidel 1
inside 1
into 3
is 24
islam 2
ismail 5
it 5
items 2
jamil 4
january 1
jar 1
joe 2
jumana 3
jumanas 2
jumping 1
just 3
kill 1
known 1
last 1
learn 1
leave 1
leaves 1
left 2
like 1
lines 3
links 1
location 1
look 1
looked 1
looted 1
luxor 3
magnificent 1
make 2
makes 2
making 2
manages 1
manipulating 1
market 2
marry 1
means 1
meant 1
meanwhile 1
medina 1
misses 1
mission 1
mistake 1
morning 1
mortally 1
most 1
moves 1
much 2
mummies 1
musket 1
needed 1
nefret 1
new 1
night 1
nights 1
no 2
not 1
nothing 1
novice 1
now 2
number 1
of 22
offer 2
on 4
once 1
one 6
only 1
other 1
out 2
over 1
pasha 3
peabody 5
people 2
place 1
plan 1
position 1
possession 1
prepare 1
previous 1
previously 1
punish 1
ramses 16
ready 1
realizes 1
reappears 1
regain 1
relations 1
removed 1
rescue 1
resemblance 1
return 2
returning 1
returns 1
rife 1
riles 1
rock 1
royal 1
rug 1
rumors 2
sahin 4
search 1
second 1
secret 2
secretly 1
secure 1
seek 1
sent 5
serious 1
service 2
set 1
sethos 7
shows 1
significant 1
sneaking 1
so 3
some 3
son 1
spy 1
started 1
status 1
stay 1
still 1
stop 1
stories 1
story 3
surprising 1
take 1
takes 1
tells 1
temporary 1
terribly 1
that 9
the 60
their 5
them 3
then 2
they 14
thing 1
this 2
though 1
thugs 1
times 1
to 38
tomb 8
tool 1
town 1
trouble 1
trust 2
try 2
trying 1
turkish 3
turks 1
turncoat 1
turned 1
two 2
unable 1
undiscovered 1
unknown 1
unscrupulous 1
untouched 1
up 2
vandergelt 4
vandergelts 1
want 1
wanted 1
warns 2
was 1
wealthy 1
what 2
when 7
where 2
which 2
while 2
who 2
will 2
with 10
without 1
wives 1
word 1
work 1
working 1
worst 1
would 2
wounding 1
wounds 1
