5768774
/m/0f3n3s
/m/0f3n3s
Beverly Cleary
1977
a 4
about 1
adds 1
all 1
almost 1
also 1
always 1
and 12
announces 1
another 1
anything 1
applications 1
are 2
at 1
be 3
beezus 3
breadwinner 1
but 2
car 1
children 1
christmas 3
church 1
collecting 1
come 1
comes 1
cope 1
costume 1
creative 1
crosses 1
dad 1
davy 1
day 2
dealing 1
decides 1
depressed 1
do 1
doesnt 1
efforts 1
end 1
everything 1
family 5
father 2
filling 1
for 3
friends 1
full 1
further 1
get 1
gets 1
glenwood 1
goes 1
going 1
grade 1
happens 1
happy 1
has 2
hates 1
have 1
he 1
help 1
her 9
his 1
home 1
howie 1
in 2
insurance 1
into 1
is 3
item 1
job 3
list 1
lost 1
mary 1
matter 1
more 1
mother 1
mr 2
mrs 2
must 2
night 1
no 1
not 1
now 1
of 1
off 1
old 1
one 3
out 1
pageant 1
pair 1
pajamas 1
participate 1
problems 1
quimby 4
quimbys 3
ramona 8
reassures 1
school 1
searching 1
second 1
sew 1
share 1
she 4
sheep 2
should 1
show 1
smoking 1
so 2
steal 1
still 1
stop 1
strong 1
tells 1
temperamental 1
that 4
the 12
their 2
then 1
they 1
things 1
tight 1
time 2
to 7
together 2
true 1
unemployment 1
unfortunately 1
until 1
upset 1
very 1
virgin 1
wants 1
wear 1
well 2
what 1
when 1
which 1
will 2
wish 2
with 3
wonderful 1
work 1
worries 1
would 1
writing 1
year 1
