244497
/m/01kd_g
/m/01kd_g
Peter Carey
1988
{"/m/02p0szs": "Historical fiction", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
400nbspkm 1
a 5
an 1
and 2
anglican 1
are 1
at 1
australia 1
australian 1
becomes 1
bellingen 1
bet 1
bets 1
boat 1
both 2
brethren 1
buys 1
cannot 1
changes 1
church 1
coast 1
compulsive 1
cornish 1
discover 1
factory 1
forever 1
from 1
gamblers 1
glass 2
he 1
heiress 1
hopkins 1
it 1
leplastrier 1
lives 1
lucinda 2
meet 1
minister 1
new 1
obsessive 1
of 2
on 1
one 1
oscar 2
other 1
over 1
plymouth 1
priest 1
remote 1
settlement 1
some 1
son 1
south 1
story 1
sydney 1
tells 1
that 2
the 5
their 1
they 2
this 1
to 2
transport 1
up 1
wales 1
who 2
young 1
