245885
/m/01kl5t
/m/01kl5t
Bruce Sterling
1990-09
{"/m/06n90": "Science Fiction", "/m/05hgj": "Novel", "/m/0mz2": "Alternate history", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/06www": "Steampunk"}
11 1
131 1
152 1
a 19
abortive 1
action 1
activities 1
ada 4
after 2
against 1
all 1
allow 1
allpowerful 1
also 1
alternate 2
although 1
ambitions 1
an 7
and 11
appear 1
are 3
artificial 1
artists 1
as 5
aspirations 1
at 4
aware 1
babbage 1
be 1
become 1
beings 1
believe 1
bets 1
book 1
borrowed 1
brothers 1
brunel 1
but 1
by 4
byron 1
cafe 1
captain 1
cards 5
career 2
case 1
castigated 1
chaperoned 1
chapter 1
characters 1
charles 1
ciphers 1
come 1
comparable 1
compromise 1
computer 1
consistently 1
counterpart 1
courtesan 1
cover 1
daughter 1
death 1
december 1
defending 1
delivers 2
depiction 1
destroys 1
difference 1
digitized 1
discovered 1
disraeli 1
documented 1
does 1
during 2
dystopian 1
ebenezer 1
edward 1
egremont 2
elaborate 1
encounters 1
end 2
engine 1
ephemeral 1
episode 1
espionage 1
executed 1
explorer 1
extent 1
eye 1
father 2
feminist 1
fight 1
fighting 1
figure 1
follows 1
for 6
forgive 1
france 1
fraser 2
from 2
gambling 2
gathers 1
gdel 2
gerard 3
gibson 1
group 1
has 1
have 1
he 2
her 6
his 3
historical 2
historically 1
human 1
identity 1
in 11
individuals 1
information 1
informs 1
intelligence 1
inversion 1
is 10
it 2
its 1
known 1
kurt 1
last 1
late 1
latter 1
laurence 1
layer 1
leader 1
leads 1
lecture 2
leviathan 1
line 1
linking 1
london 3
longed 1
lord 1
lords 1
lordship 1
lovelace 4
luddite 1
macguffin 1
majesty 1
major 1
mallory 2
manhattanbased 1
many 1
meet 1
mercy 1
merit 1
modus 1
mp 1
mysterious 1
not 2
novel 4
novels 1
now 1
objects 1
obstacle 1
obtain 1
of 17
officer 1
oliphant 4
on 3
only 1
opportunity 1
origins 1
our 1
own 1
paleontologist 1
pantomime 1
paris 1
parliamentary 1
penchant 1
place 1
point 1
police 1
political 3
pollution 1
portrayed 1
powerful 1
program 1
programme 1
proves 1
punch 3
punched 1
pursue 1
real 1
reality 1
references 1
regarded 1
reportedly 1
represent 1
resultant 1
revealed 1
revolutionary 1
riot 1
role 1
scandal 1
secret 1
sections 1
seducer 1
service 1
set 1
several 2
she 2
smog 1
some 1
special 1
still 1
stink 1
stories 1
story 2
strategies 1
subject 1
swelters 1
swing 1
sybil 5
that 6
the 32
their 1
them 1
theorem 1
theorems 1
there 2
this 1
throughout 1
to 10
trail 1
travel 1
true 1
two 1
unable 1
under 1
undertaken 1
until 1
uprising 1
user 1
vantage 1
vengeance 1
very 2
vignettes 1
want 1
was 1
which 3
who 2
whose 1
will 1
winning 1
with 3
work 1
world 2
would 3
writer 1
