6206244
/m/0fwrr9
/m/0fwrr9
Helen Fielding

{"/m/01jfsb": "Thriller", "/m/05hgj": "Novel"}
a 1
adventures 1
alluring 1
an 1
and 1
angeles 1
as 1
book 1
covering 1
cream 1
delves 1
espionage 1
face 1
falling 1
feramo 1
follows 2
freelance 1
he 2
him 2
honduras 1
impression 1
in 2
international 2
into 1
is 3
it 1
joules 1
journalistturned 1
launch 1
los 1
love 1
meets 1
miami 1
of 2
olivia 2
pierre 1
playboy 1
she 2
spy 1
sudan 1
suspicious 1
terrorist 1
that 2
the 6
to 1
under 1
while 2
with 1
world 1
